OFFICIAL DRAW FOR YORKTON      
Performance: 1. Friday 4 @ 7:00PM
Performance: 2. Saturday 5 @ 7:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|LOC6760| 1. CARMICHAEL MATTHEW (PERF # 1. Friday 4 @ 7:00PM)||WS-35 
SADDLE BRONC|6814C| 2. WINTERS TYLER (PERF # 1. Friday 4 @ 7:00PM)|DOUGLAS, MB|WSJ14 DAYS 'N NIGHTS
SADDLE BRONC|M2828| 3. COTE WACEY (PERF # 1. Friday 4 @ 7:00PM)|MRCA|WSX4 BREAK DOWN
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7086C| 1. POTVIN ANTHONY (PERF # 2. Saturday 5 @ 7:00PM)|AUSTIN, MB|WS511 ROTTEN RALPH
SADDLE BRONC|N7511| 2. MACZA LUCAS (PERF # 2. Saturday 5 @ 7:00PM)|HIGH RIVER, AB|WS238 SMOKE SIGNAL
SADDLE BRONC|J6761C| 3. THUE TYSON (PERF # 2. Saturday 5 @ 7:00PM)|BENGOUGH, SK|WS81 LADY BUG
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|R2032| 1. RANDLE CHAD (PERF # 1. Friday 4 @ 7:00PM)|INFR|W012 MEGGA BUCKS
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|J7359| 1. BEAR CASEY (PERF # 2. Saturday 5 @ 7:00PM)|WHITEWOOD, SK|W120 HAPPY HOOKER
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|J7437| 1. MCMAHON KEENAN (PERF # 1. Friday 4 @ 7:00PM)|INWOOD, MB|WLZ05 TAP
BULL RIDING|M2762| 2. FAIRLIE EVERETT (PERF # 1. Friday 4 @ 7:00PM)|MRCA|WL915 BELL FEVER
BULL RIDING|M2682C| 3. GILCHUK DENNIS (PERF # 1. Friday 4 @ 7:00PM)|MRCA|WL924 COOL POP
BULL RIDING|7276C| 4. BEDFORD CALEB (PERF # 1. Friday 4 @ 7:00PM)|MACNUTT, SK|WL866 ON THE ROCKS
BULL RIDING|M2606| 5. TOMOLAK MATTHEW (PERF # 1. Friday 4 @ 7:00PM)|ESTERHAZY, SK|WL60 RENEGADE
BULL RIDING|M2881| 6. KINKEAD AUSTIN (PERF # 1. Friday 4 @ 7:00PM)|MRCA|WL33 
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|J1616C| 1. TALLIS RILEY (PERF # 2. Saturday 5 @ 7:00PM)|LANGHAM, SK|WL866 ON THE ROCKS
BULL RIDING|7408C| 2. SWITZER CHANSE (PERF # 2. Saturday 5 @ 7:00PM)|HAZENMORE, SK|WL60 RENEGADE
BULL RIDING|J6761C| 3. THUE TYSON (PERF # 2. Saturday 5 @ 7:00PM)|BENGOUGH, SK|WL853 ITS TIME
BULL RIDING|J1561C| 4. LOEPPKY TJ (PERF # 2. Saturday 5 @ 7:00PM)|CENTRAL BUTTE, SK|WL924 COOL POP
BULL RIDING|R8605| 5. GLORIA MARCOS (PERF # 2. Saturday 5 @ 7:00PM)|EDMONTON, AB|WL118 SOUTH COAL
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|R100005| 1. TAYPOTAT CURTIS (PERF # 1. Friday 4 @ 7:00PM)|INFR|
TIE DOWN ROPING|5942C| 2. SIGFUSSON SCOTT (PERF # 1. Friday 4 @ 7:00PM)|DAVIDSON, SK|
TIE DOWN ROPING|R100004| 3. TAYPOTAT SAM (PERF # 1. Friday 4 @ 7:00PM)|INFR|
TIE DOWN ROPING|M2770JC| 4. PEAKE KADE (PERF # 1. Friday 4 @ 7:00PM)|MRCA|
TIE DOWN ROPING|5643C| 5. SWITZER MATT (PERF # 1. Friday 4 @ 7:00PM)|YORKTON, SK      |
TIE DOWN ROPING|R1056| 6. TAYPOTAT DARRELL (PERF # 1. Friday 4 @ 7:00PM)|INFR|
TIE DOWN ROPING|6559C| 7. HARRIS SCOTT (PERF # 1. Friday 4 @ 7:00PM)|STONEWALL, MB|
TIE DOWN ROPING|M2721| 8. SALMON TYSON (PERF # 1. Friday 4 @ 7:00PM)|STONEWALL, MB|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|M1981C| 1. BRIDGEMAN JUSTIN (PERF # 2. Saturday 5 @ 7:00PM)|BINSCARTH, MB|
TIE DOWN ROPING|5483C| 2. PORTER DEVON (PERF # 2. Saturday 5 @ 7:00PM)|SOLSGIRTH, MB|
TIE DOWN ROPING|5311C| 3. WILLIAMSON SHAWN (PERF # 2. Saturday 5 @ 7:00PM)|MANKOTA, SK |
TIE DOWN ROPING|6510C| 4. MCLEOD TUFTIN (PERF # 2. Saturday 5 @ 7:00PM)|WALDECK, SK|
TIE DOWN ROPING|2007C| 5. SWITZER BLAINE (PERF # 2. Saturday 5 @ 7:00PM)|SWIFT CURRENT SK|
TIE DOWN ROPING|6933C| 6. SMITH LAYNE (PERF # 2. Saturday 5 @ 7:00PM)|OAK LAKE, MB|
TIE DOWN ROPING|7417| 7. WILEY BILLY (PERF # 2. Saturday 5 @ 7:00PM)|MANOR, SK|
TIE DOWN ROPING|5298C| 8. FOLK KEITH (PERF # 2. Saturday 5 @ 7:00PM)|SWIFT CURRENT SK|
TIE DOWN ROPING|3955C| 9. DUNHAM BRUCE (PERF # 2. Saturday 5 @ 7:00PM)|INDIAN HEAD, SK|
TIE DOWN ROPING|5019C| 10. GETZ CODY (PERF # 2. Saturday 5 @ 7:00PM)|BALGONIE, SK|
TIE DOWN ROPING|5373C| 11. RADKE CLINT (PERF # 2. Saturday 5 @ 7:00PM)|MARYFIELD, SK|
TIE DOWN ROPING|J1705C| 12. MARCENKO ZANE (PERF # 2. Saturday 5 @ 7:00PM)|ROCKGLEN, SK|
TIE DOWN ROPING|3948C| 13. BEVAN CAREY (PERF # 2. Saturday 5 @ 7:00PM)|CARIEVALE SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|M2726| 1. WHELPTON AUSTIN (PERF # 1. Friday 4 @ 7:00PM)|MRCA|
STEER WRESTLING|5942C| 2. SIGFUSSON SCOTT (PERF # 1. Friday 4 @ 7:00PM)|DAVIDSON, SK|
STEER WRESTLING|J7436| 3. MCMAHON BRYCE (PERF # 1. Friday 4 @ 7:00PM)|INWOOD, MB|
STEER WRESTLING|R1138| 4. PETERS BUCK (PERF # 1. Friday 4 @ 7:00PM)|KCRA|
STEER WRESTLING|R10751C| 5. KNITTIG LORNE (PERF # 1. Friday 4 @ 7:00PM)|VANSCOY, SK|
STEER WRESTLING|6559C| 6. HARRIS SCOTT (PERF # 1. Friday 4 @ 7:00PM)|STONEWALL, MB|
STEER WRESTLING|M2762| 7. FAIRLIE EVERETT (PERF # 1. Friday 4 @ 7:00PM)|MRCA|
STEER WRESTLING|6278| 8. SPARROW JARED (PERF # 1. Friday 4 @ 7:00PM)|NORTH BATTLEFORD SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|M1981C| 1. BRIDGEMAN JUSTIN (PERF # 2. Saturday 5 @ 7:00PM)|BINSCARTH, MB|
STEER WRESTLING|5483C| 2. PORTER DEVON (PERF # 2. Saturday 5 @ 7:00PM)|SOLSGIRTH, MB|
STEER WRESTLING|2546C| 3. PETTYJOHN REX (PERF # 2. Saturday 5 @ 7:00PM)|GARLAND, MB |
STEER WRESTLING|7086C| 4. POTVIN ANTHONY (PERF # 2. Saturday 5 @ 7:00PM)|AUSTIN, MB|
STEER WRESTLING|J1705C| 5. MARCENKO ZANE (PERF # 2. Saturday 5 @ 7:00PM)|ROCKGLEN, SK|
STEER WRESTLING|J7203C| 6. LANG KELTON (PERF # 2. Saturday 5 @ 7:00PM)|CADILLAC, SK|
STEER WRESTLING|6645C| 7. KLOVANSKY KAL (PERF # 2. Saturday 5 @ 7:00PM)|QU'APPELLE, SK|
STEER WRESTLING|7202C| 8. LANG TONY (PERF # 2. Saturday 5 @ 7:00PM)|CADILLAC, SK|
STEER WRESTLING|5006C| 9. MORRIS IAN (PERF # 2. Saturday 5 @ 7:00PM)|FORT QU'APPELLE SK|
