OFFICIAL DRAW FOR TISDALE, SK
Performance: 1. Friday 8 @ 7:00PM
Performance: 2. Saturday 9 @ 6:00PM
Performance: 3. Saturday 9 @ 8:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|5178| 1. SCHELLENBERG BERNIE (PERF # 1)|MELFORT, SK|BS67 PARK RANGER
SADDLE BRONC|7428| 2. ZWEIFEL CHASE (PERF # 1)|PARADISE HILL, SK|BSJ11 AMERICAN LEGEND
SADDLE BRONC|6814C| 3. WINTERS TYLER (PERF # 1)|OAK LAKE, MB|BS70 STARS AND STRIPES
SADDLE BRONC|6392C| 4. THOMPSON KIRK (PERF # 1)|OAK LAKE, MB|BS85 POACHERS MOON
SADDLE BRONC|5283C| 5. FITZPATRICK RHETT (PERF # 1)|WOOD MOUNTAIN, SK|BS100 CASEY MAC
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6259C| 1. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|BS4 FORGET ME NOT
SADDLE BRONC|6649C| 2. BOURQUE CHASE (PERF # 2)|PELLY, SK|BS8 TWISTER
SADDLE BRONC|7420| 3. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|BS703 BUTTERCUP
SADDLE BRONC|7086C| 4. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|BS603 ANVIL HEAD
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7117C| 1. VANDENAMEELE DANNY (PERF # 1)|LANGENBURG SK|B351 JUST HANGING
BAREBACK|7457| 2. OUELLETTE COLTON (PERF # 1)|MEADOW LAKE, SK|B350 TOO GOOD     
BAREBACK|6535C| 3. MOEN BUCK (PERF # 1)|ELROSE, SK|B511 HIGH OCTANE
BAREBACK|7117C| 4. VANDENAMEELE DANNY (PERF # 1)|LANGENBURG SK|BW2 CITY STORM
BAREBACK|7457| 5. OUELLETTE COLTON (PERF # 1)|MEADOW LAKE, SK|B89 SCARY MARY
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|6535C| 1. MOEN BUCK (PERF # 2)|ELROSE, SK|B24 BLAZE
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7456| 1. WATIER AUSTEN (PERF # 1)|KYLE, SK|BR601 SHY GUY
BULL RIDING|CP7132| 2. LAPLANTE LANE (PERF # 1)|NORTH BATTLEFORD, SK|BR943 CHECKERS
BULL RIDING|7295C| 3. EDWARDS DAVID (PERF # 1)|GLASLYN, SK|BR900 TORCH HEAD
BULL RIDING|LOC6452| 4. COLE TROENDLE (PERF # 1)|TIS|BRZ1 UPTOWN FUNK
BULL RIDING|C2288C| 5. MCCARTY AARON (PERF # 1)|KYLE, SK|BR856 ITCHY
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7446| 1. PITURA MARTY (PERF # 2)|STE ANNE, MB|BR903 SNAKE EYES
BULL RIDING|1675C| 2. EBERLE KYLE (PERF # 2)|PILOT BUTTE, SK|BR856 ITCHY
BULL RIDING|6570C| 3. BRANDT JEFF (PERF # 2)|AUSTIN, MB|BRU9 SPINNER
BULL RIDING|M2823| 4. BUECKERT DALE (PERF # 2)|AUSTIN, MB|BR943 CHECKERS
BULL RIDING|7060C| 5. DOWNS COLEMAN (PERF # 2)|BALGONIE, SK|BR957 HAND BURNER
BULL RIDING|M2824| 6. DONALD DEVON (PERF # 2)|ROSSENDALE, MB|BR922 JOE SCHMO
BULL RIDING|M2682C| 7. GILCHUK DENNIS (PERF # 2)|MRCA|BR826 JOE DIRT
BULL RIDING|7418C| 8. KOTYLAK DALLAS (PERF # 2)|PILOT BUTTE, SK|BR89 STRAIGHT SHOOTER
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5942C| 1. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
TIE DOWN ROPING|5019C| 2. GETZ CODY (PERF # 1)|BALGONIE, SK|
TIE DOWN ROPING|7430C| 3. ANDERSON MACLIN (PERF # 1)|ROCKGLEN, SK|
TIE DOWN ROPING|5483C| 4. PORTER DEVON (PERF # 1)|SOLSGIRTH, MB|
TIE DOWN ROPING|3948C| 5. BEVAN CAREY (PERF # 1)|CARIEVALE SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6635C| 1. MASTAD CLAY (PERF # 2)|PLEASANTDALE, SK |
TIE DOWN ROPING|6510C| 2. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|6259C| 3. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|
TIE DOWN ROPING|3955C| 4. DUNHAM BRUCE (PERF # 2)|INDIAN HEAD, SK|
TIE DOWN ROPING|5643C| 5. SWITZER MATT (PERF # 2)|YORKTON, SK      |
TIE DOWN ROPING|LOC6445| 6. SHANE HORVATH (PERF # 2)|TIS|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|1561C| 1. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
STEER WRESTLING|5942C| 2. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING|7380C| 3. SIEBOLD ADAM (PERF # 1)|KELVINGTON, SK|
STEER WRESTLING|5483C| 4. PORTER DEVON (PERF # 1)|SOLSGIRTH, MB|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|6278C| 1. SPARROW JARED (PERF # 2)|NORTH BATTLEFORD SK|
STEER WRESTLING|R11366| 2. GUZE JOSEPH (PERF # 2)|CPRA|
STEER WRESTLING|R328140C| 3. WALKER DUSTIN (PERF # 2)|CPRA|
STEER WRESTLING|7086C| 4. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|
STEER WRESTLING|7264C| 5. PETTYJOHN TY (PERF # 2)|GARLAND, MB|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7447| 1. FROESE TORIE (PERF # 1)|BIENFAIT, SK|TIMER DUTIES
LADIES BARREL RACING|L7427| 2. YARSHENKO MARDI (PERF # 1)|MAPLE CREEK SK|TIMER DUTIES
LADIES BARREL RACING|L6807C| 3. LANZ KARLY (PERF # 1)|CARIEVALE, SK|
LADIES BARREL RACING|M2479C| 4. DIAMOND AMANDA (PERF # 1)|MRCA|
LADIES BARREL RACING|L7278C| 5. CROSSLEY JACEY (PERF # 1)|MOOSOMIN, SK|
LADIES BARREL RACING|M2742C| 6. ELLISON MEGAN (PERF # 1)|REDVERS, SK|
LADIES BARREL RACING|J1598C| 7. MCCANNELL HALLIE (PERF # 1)|CARIEVALE, SK|
LADIES BARREL RACING|L5498C| 8. GETZ JENNIFER (PERF # 1)|BALGONIE, SK        |BARREL REP
LADIES BARREL RACING|L6390C| 9. ZUNTI TWILA (PERF # 1)|UNITY, SK|
LADIES BARREL RACING|L6378C| 10. THIESSEN MELISSA (PERF # 1)|STETTLER, AB|
LADIES BARREL RACING|LOC6441| 11. JADE LENARD (PERF # 1)|TIS|
LADIES BARREL RACING|LOC6447| 12. HEATHER SCHMITT (PERF # 1)|TIS|
LADIES BARREL RACING|LOC6451| 13. BREANN WOOLSEY (PERF # 1)|TIS|
LADIES BARREL RACING|LOC6448| 14. BEV BURTNICK (PERF # 1)|TIS|TIMER DUTIES
LADIES BARREL RACING|LOC6465| 15. CODIEE LUMB (PERF # 1)|TIS|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 2||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|J7286C| 1. WOLOSHYN JESSENTA (PERF # 2)|KUROKI, SK|TIMER DUTIES
LADIES BARREL RACING|L5698C| 2. GRIFFIN JODIE (PERF # 2)|DELISLE, SK     |TIMER DUTIES
LADIES BARREL RACING|J7440| 3. WEBER CASSIDY (PERF # 2)|WEYBURN, SK|
LADIES BARREL RACING|J1653C| 4. CLEVELAND ASHLEY         (PERF # 2)|BENGOUGH, SK|
LADIES BARREL RACING|L7421C| 5. ROOD MEAGHAN (PERF # 2)|BENGOUGH, SK|
LADIES BARREL RACING|M2757| 6. POTVIN JENNA (PERF # 2)|MRCA|
LADIES BARREL RACING|L7442C| 7. SMITH KAILEE (PERF # 2)|WAINWRIGHT, AB|
