OFFICIAL DRAW FOR PIERSON, MB
Performance: 1. Friday 15 @ 7:00PM
Performance: 2. Saturday 16 @ 6:00PM
Performance: 3. Friday 15 @ 9:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|5283C| 1. FITZPATRICK RHETT (PERF # 1)|WOOD MOUNTAIN, SK|PS704 BOTTOM LINE
SADDLE BRONC|6870C| 2. FOUHSE TYREL (PERF # 1)|WHITE CITY, SK|PS817 COPPER SANDS
SADDLE BRONC|7086C| 3. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|PS826 WHISPER
SADDLE BRONC|7428| 4. ZWEIFEL CHASE (PERF # 1)|PARADISE HILL, SK|PS633 TSN
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6392C| 1. THOMPSON KIRK (PERF # 2)|OAK LAKE, MB|PS816 HARD TIMES
SADDLE BRONC|6814C| 2. WINTERS TYLER (PERF # 2)|OAK LAKE, MB|PS908 DRAGON       
SADDLE BRONC|7420| 3. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|PS904 FRICTION
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7457| 1. OUELLETTE COLTON (PERF # 1)|MEADOW LAKE, SK|P061 GRASSY BUTTE
BAREBACK|M2853P| 2. BARTSCH JOHNNY (PERF # 1)|MRCA|PC19 FREE SHIPPING
BAREBACK|M2853P| 3. BARTSCH JOHNNY (PERF # 1)|MRCA|P712 SIDE EFFECT
BAREBACK|7457| 4. OUELLETTE COLTON (PERF # 1)|MEADOW LAKE, SK|P44 LOOSE CHANGE
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7276C| 1. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|PR713 SHOWCASE
BULL RIDING|1559C| 2. LEIPPI MATTHEW (PERF # 1)|KRONAU, SK|PR636 UNI SELECT
BULL RIDING|1561C| 3. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|PR077 COWTOWN'S PRAIRIE BEAR
BULL RIDING|LOC6469| 4. BRETT GREEN (PERF # 1)|PIR|PR818 CAPTAIN
BULL RIDING|M2682C| 5. GILCHUK DENNIS (PERF # 1)|MRCA|PR5 2 S AUCTIONS    
BULL RIDING|M2606C| 6. TOMOLAK MATTHEW (PERF # 1)|ESTERHAZY, SK|PR7 RESET
BULL RIDING|LOC6467| 7. ROB HARMON (PERF # 1)|PIR|PR46 HODGE
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7437| 1. MCMAHON KEENAN (PERF # 2)|INWOOD, MB|PR71 WEST WIND
BULL RIDING|M2823| 2. BUECKERT DALE (PERF # 2)|AUSTIN, MB|PR075 RUSTY'S PETERBILT
BULL RIDING|M2812C| 3. HICKEY CRAIG (PERF # 2)|MRCA|PR36 HANGOVER
BULL RIDING|7446| 4. PITURA MARTY (PERF # 2)|STE ANNE, MB|PR5 2 S AUCTIONS    
BULL RIDING|6570C| 5. BRANDT JEFF (PERF # 2)|AUSTIN, MB|PR37 BLAZE
BULL RIDING|M2854| 6. HICKEY TYLLER (PERF # 2)|MRCA|PR3 NITRO
BULL RIDING|M2824| 7. DONALD DEVON (PERF # 2)|ROSSENDALE, MB|PR068 LUG NUT
BULL RIDING|M2773C| 8. ROBERTSON TYLER (PERF # 2)|MRCA|PR077 COWTOWN'S PRAIRIE BEAR
BULL RIDING|1675C| 9. EBERLE KYLE (PERF # 2)|PILOT BUTTE, SK|PR113 TOP FLIGHT
BULL RIDING|7060C| 10. DOWNS COLEMAN (PERF # 2)|BALGONIE, SK|PRS70 DREAM ON
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|LOC6474| 1. ROGER DUNHAM (PERF # 1)|PIR|
TIE DOWN ROPING|M2721J| 2. SALMON TYSON (PERF # 1)|STONEWALL, MB|
TIE DOWN ROPING|5942C| 3. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
TIE DOWN ROPING|7430C| 4. ANDERSON MACLIN (PERF # 1)|ROCKGLEN, SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6071C| 1. KELLER SHAY (PERF # 2)|ROCKGLEN, SK|
TIE DOWN ROPING|6510C| 2. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|M2770JC| 3. PEAKE KADE (PERF # 2)|MRCA|
TIE DOWN ROPING|M1492| 4. RUSK RYAN (PERF # 2)|MRCA|
TIE DOWN ROPING|5019C| 5. GETZ CODY (PERF # 2)|BALGONIE, SK|
TIE DOWN ROPING|3996C| 6. ROOD CODY (PERF # 2)|BENGOUGH SK|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|M1981C| 1. BRIDGEMAN JUSTIN (PERF # 3)|BINSCARTH, MB|
TIE DOWN ROPING|5483C| 2. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
TIE DOWN ROPING|M1321C| 3. BROWN SHANE (PERF # 3)|VIRDEN MB|
TIE DOWN ROPING|M2705JC| 4. ALLAN CLAY (PERF # 3)|MRCA|
TIE DOWN ROPING|3948C| 5. BEVAN CAREY (PERF # 3)|CARIEVALE SK|
TIE DOWN ROPING|3955C| 6. DUNHAM BRUCE (PERF # 3)|INDIAN HEAD, SK|
TIE DOWN ROPING|5643C| 7. SWITZER MATT (PERF # 3)|YORKTON, SK      |
TIE DOWN ROPING|5373C| 8. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
TIE DOWN ROPING|6835C| 9. BROWN ORY (PERF # 3)|LENORE, MB|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|7264C| 1. PETTYJOHN TY (PERF # 1)|GARLAND, MB|
STEER WRESTLING|7086C| 2. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|
STEER WRESTLING|M1210C| 3. HAGAN ALISTAIR (PERF # 1)|VIRDEN MB|
STEER WRESTLING|M1629C| 4. HAGAN THOMAS (PERF # 1)|VIRDEN, MB|
STEER WRESTLING|1561C| 5. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
STEER WRESTLING|5942C| 6. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|LOC6475| 1. JUSTIN MILLER (PERF # 2)|PIR|
STEER WRESTLING|J7436| 2. MCMAHON BRYCE (PERF # 2)|INWOOD, MB|
STEER WRESTLING|M1879C| 3. COWEN STEVEN (PERF # 2)|MRCA|
STEER WRESTLING|6347C| 4. SCHROEDER LEIGHTON (PERF # 2)|SOURIS, MB|
STEER WRESTLING|6098C| 5. TOBER DANIEL (PERF # 2)|OXBOW SK|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|R10751C| 1. KNITTIG LORNE (PERF # 3)|CPRA|
STEER WRESTLING|M1981C| 2. BRIDGEMAN JUSTIN (PERF # 3)|BINSCARTH, MB|
STEER WRESTLING|5483C| 3. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
STEER WRESTLING|M1321C| 4. BROWN SHANE (PERF # 3)|VIRDEN MB|
STEER WRESTLING|M2056C| 5. KING CHARLIE (PERF # 3)|MRCA|
STEER WRESTLING|M2072C| 6. KING JOE (PERF # 3)|VIRDEN, MB|
STEER WRESTLING|7383C| 7. KELLY CLINT (PERF # 3)|BRANDON, MB|
STEER WRESTLING|6739C| 8. SANDILANDS DAVID (PERF # 3)|ESTERHAZY, SK|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L5293C| 1. DENBROK TRACI  (PERF # 1)|ESTERHAZY, SK|TIMER DUTIES
LADIES BARREL RACING|J7440| 2. WEBER CASSIDY (PERF # 1)|WEYBURN, SK|TIMER DUTIES
LADIES BARREL RACING|M1958C| 3. FROESE TORIE  (PERF # 1)|MRCA|
LADIES BARREL RACING|L7465| 4. GOMPF KYLIE (PERF # 1)|OAK LAKE, MB|
LADIES BARREL RACING|L6663C| 5. SCHNITZLER RENIE (PERF # 1)|VANSCOY, SK|
LADIES BARREL RACING|L6374C| 6. MASTAD ANGELA (PERF # 1)|PLEASANTDALE, SK|
