OFFICIAL DRAW FOR KINDERSLEY, SK
Performance: 1. Thursday 26 @ 7:00PM
Performance: 2. Friday 27 @ 7:00PM
Performance: 3. Saturday 28 @ 7:00PM
Performance: 4. Friday 27 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|6572C| 1. GORDON MIKE (PERF # 1)|MAPLE CREEK, SK|BS901 SPARE CHANGE
SADDLE BRONC|7320C| 2. KNIGHT TOM (PERF # 1)|REGINA, SK|BS108 WILD SIDE 
SADDLE BRONC|6168| 3. GILCHRIST ADAM (PERF # 1)|MAPLE CREEK SK|BS90 ROLE MODEL
SADDLE BRONC|7336C| 4. ASHBACHER KOLE (PERF # 1)|ARROWWOOD, AB|BS235 LITTLE SABASTIAN
SADDLE BRONC|7482| 5. WANCHUK KOLBY (PERF # 1)|SHERWOOD PARK AB|BS31 WHISKEY GIRL
SADDLE BRONC|6259C| 6. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|BS36 TREASURE CHEST 
SADDLE BRONC|R322668| 7. BERTRAM CASEY (PERF # 1)|CPRA|BS700 TOMMY BOY
SADDLE BRONC|7519| 8. DILLON JEREMY (PERF # 1)|STOCKHOLM, SK|BS22 NEON RAINBOW
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|BS111 BAR TALK
SADDLE BRONC|5328C| 2. HARDEN JOSH (PERF # 2)|BIG VALLEY, AB|BS005 SCAR FACE
SADDLE BRONC|7467| 3. GRAHAM JUSTIN (PERF # 2)|WAINWRIGHT, AB|BS109 FROG LIP
SADDLE BRONC|1424| 4. LANE CODY (PERF # 2)|LLOYDMINSTER, SK|BS901 SPARE CHANGE
SADDLE BRONC|C7024C| 5. HEMART ADRIEN (PERF # 2)|CRA|BS101 THREE LILLYS
SADDLE BRONC|7420| 6. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|BS235 LITTLE SABASTIAN
SADDLE BRONC|6696C| 7. THURSTON WYATT (PERF # 2)|BIG VALLEY, AB|BS9 MERCEDES
SADDLE BRONC||PERFORMANCE: 3||
SADDLE BRONC|| ||
SADDLE BRONC|6392C| 1. THOMPSON KIRK (PERF # 3)|OAK LAKE, MB|BS102 BON DANIELS
SADDLE BRONC|6649C| 2. BOURQUE CHASE (PERF # 3)|PELLY, SK|BS2 MALIBU
SADDLE BRONC|7428| 3. ZWEIFEL CHASE (PERF # 3)|PARADISE HILL, SK|BS58 CONTENDER
SADDLE BRONC|6169C| 4. WILSON TYLER (PERF # 3)|MEADOW LAKE SK|BS801 MAJOR LUKE
SADDLE BRONC|5178| 5. SCHELLENBERG BERNIE (PERF # 3)|MELFORT, SK|BS178 TWO TONE
SADDLE BRONC|6870C| 6. FOUHSE TYREL (PERF # 3)|WHITE CITY, SK|BS06 SIX GUNS
SADDLE BRONC|5283C| 7. FITZPATRICK RHETT (PERF # 3)|WOOD MOUNTAIN, SK|BS105 BADGER HOLE
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|5976C| 1. BERTRAM BRADY (PERF # 1)|MAPLE CREEK,SK |BM225 SKY FALL
BAREBACK|7117C| 2. VANDENAMEELE DANNY (PERF # 1)|LANGENBURG SK|B21 PAINTED SAINT
BAREBACK|6811| 3. SHOLD ANDY (PERF # 1)|RED DEER COUNTY, AB|BY1 STICK HORSE
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7370C| 1. COLLINS COHEN (PERF # 2)|REGINA, SK|B2 SILVER BUCKLE
BAREBACK|C2277C| 2. HIGGINS LUKE (PERF # 2)|CRA|B280 BIG BIRD
BAREBACK|5131C| 3. KOOPMAN MONTY (PERF # 2)|CONSUL, SK|B49 LUCKY ME
BAREBACK|6658C| 4. HOFER JASON (PERF # 2)|MAPLE CREEK, SK|B106 WIND TALKER
BAREBACK|6291C| 5. COLLINS LANE (PERF # 2)|ARDEN, MB    |B008 WHITE LIAR
BAREBACK||PERFORMANCE: 3||
BAREBACK|| ||
BAREBACK|6535C| 1. MOEN BUCK (PERF # 3)|ELROSE, SK|B1 BLOCK BUSTER
BAREBACK|7525| 2. WILLIAMS BRETT (PERF # 3)|STAVELY, AB|B110 HOT CHOCOLATE
BAREBACK|7478| 3. JONES DANIEL "STRAWBS" (PERF # 3)|DUFFIELD, AB|B21 PAINTED SAINT
BAREBACK|6964C| 4. GRAVELLE PATRICK (PERF # 3)|BENGOUGH, SK|BX7 SHORT STRAW
BAREBACK|7328C| 5. STEVENSON CARSON (PERF # 3)|RICHLEA, SK|B16 TARGET
BAREBACK|7508| 6. MAY PARRISH (PERF # 3)|KENNEDY,SK|BY11 FRUIT CUP
BAREBACK|7457| 7. OUELLETTE COLTON (PERF # 3)|MEADOW LAKE, SK|B93 CANDLE MAKER
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7295C| 1. EDWARDS DAVID (PERF # 1)|GLASLYN, SK|BCLR4V GRIN N BARRET
BULL RIDING|1561C| 2. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|BCW5 SCREAMIN COLOURS
BULL RIDING|C3133C| 3. BOULDING JEREMY (PERF # 1)|CRA|BC6 PALE FACE
BULL RIDING|LOC6507| 4. REGEHR WES (PERF # 1)|KIN|BC245 FAJITA
BULL RIDING|C5570C| 5. SODERBURG CHASE JAY (PERF # 1)|CRA|BCW4 RAIN BOW WARRIOR
BULL RIDING|C2661C| 6. COBB WYATT (PERF # 1)|CRA|BCY53 HOT PASS
BULL RIDING|C2903C| 7. TATTRIE BRODY (PERF # 1)|CRA|BCY37 JUST BUSINESS
BULL RIDING|7456| 8. WATIER AUSTEN (PERF # 1)|KYLE, SK|BCY52 STRONG FOUNDATION
BULL RIDING|C7001C| 9. OSTBY COLE (PERF # 1)|CRA|BCW1 ROCKY
BULL RIDING|6505C| 10. ELLIS TY (PERF # 1)|SONNINGDALE, SK|BC234 SUNS OUT GUNS OUT
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|C7314C| 1. KUBIK ZANE (PERF # 2)|CRA|BC1 THRIFT SHOP
BULL RIDING|7512| 2. KNIGHT MICHAEL (PERF # 2)|REGINA, SK|BC233 HAUNTED
BULL RIDING|7526| 3. SLADE LACHLAN (PERF # 2)|SONNINGDALE SK|BC900 COOL 'N' BREEZY
BULL RIDING|7382C| 4. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|BCY42 BLOOD SHOT EYES
BULL RIDING|6823C| 5. ARBUTHNOTT JORDAN (PERF # 2)|HAYTER AB|BC44 SMOKE N MIRRORS
BULL RIDING|CP7132| 6. LAPLANTE LANE (PERF # 2)|NORTH BATTLEFORD, SK|BCW7 RAIN DANCE
BULL RIDING|1635C| 7. SCHUETT COLTON (PERF # 2)|RAINIER, AB|BC01 AWOL NATION
BULL RIDING|1424| 8. LANE CODY (PERF # 2)|LLOYDMINSTER, SK|BC7 LARGE MARVIN
BULL RIDING|7510| 9. WARD TYRELL (PERF # 2)|THREE HILLS, AB|BC9 SHORT NOTICE
BULL RIDING|7410C| 10. ZUR COOPER (PERF # 2)|LUNDBRECK, AB|BC245 FAJITA
BULL RIDING||PERFORMANCE: 3||
BULL RIDING|| ||
BULL RIDING|7444C| 1. MOEN JB (PERF # 3)|ELROSE, SK|BCW17 COOL WHIP
BULL RIDING|1559C| 2. LEIPPI MATTHEW (PERF # 3)|KRONAU, SK|BCW7 RAIN DANCE
BULL RIDING|7524| 3. HUNT RON (PERF # 3)|NANTON, AB|BCY50 HAWAII FIVE O
BULL RIDING|6537C| 4. LYNCH PRESTON (PERF # 3)|LANGHAM, SK|BC231 DODGE N HELL
BULL RIDING|5341C| 5. LAPLANTE DANIEL (PERF # 3)|SASKATOON, SK       |BCW5 SCREAMIN COLOURS
BULL RIDING|6570C| 6. BRANDT JEFF (PERF # 3)|AUSTIN, MB|BCW1 ROCKY
BULL RIDING|7276C| 7. BEDFORD CALEB (PERF # 3)|MACNUTT, SK|BCW6 CACTUS
BULL RIDING|C1258C| 8. CHARTERIS COLBY (PERF # 3)|CRA|BCY52 STRONG FOUNDATION
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5311C| 1. WILLIAMSON SHAWN (PERF # 1)|MANKOTA, SK |
