OFFICIAL DRAW FOR MANKOTA, SK
Performance: 1. Friday 27 @ 6:00PM
Performance: 2. Saturday 28 @ 6:00PM
Performance: 3. Saturday 28 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7320C| 1. KNIGHT TOM (PERF # 1)|REGINA, SK|PSD2 CITY MAIL
SADDLE BRONC|M2828| 2. COTE WACEY (PERF # 1)|MRCA|PS012 BIG SKY
SADDLE BRONC|6870C| 3. FOUHSE TYREL (PERF # 1)|WHITE CITY, SK|PS899 ZIFF
SADDLE BRONC|5283C| 4. FITZPATRICK RHETT (PERF # 1)|WOOD MOUNTAIN, SK|PS904 FRICTION
SADDLE BRONC|7519| 5. DILLON JEREMY (PERF # 1)|STOCKHOLM, SK|PS704 BOTTOM LINE
SADDLE BRONC|6572C| 6. GORDON MIKE (PERF # 1)|MAPLE CREEK, SK|PST48 STAR BUCK
SADDLE BRONC|6392C| 7. THOMPSON KIRK (PERF # 1)|OAK LAKE, MB|PSM71 MACKIES CARBON COPY
SADDLE BRONC|6649C| 8. BOURQUE CHASE (PERF # 1)|PELLY, SK|PS816 HARD TIMES
SADDLE BRONC|7336C| 9. ASHBACHER KOLE (PERF # 1)|ARROWWOOD, AB|PS215 ROLL CALL
SADDLE BRONC|7482| 10. WANCHUK KOLBY (PERF # 1)|SHERWOOD PARK AB|PST10 STONE CREEK
SADDLE BRONC|C2250C| 11. MACZA LUCAS (PERF # 1)|CRA|PSD10 CITY KEYS
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|PS003 WIGGLES
SADDLE BRONC|7420| 2. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|PSX44 DUSTY DAY  
SADDLE BRONC|6696C| 3. THURSTON WYATT (PERF # 2)|BIG VALLEY, AB|PSX27 DUSTY TRAIL
SADDLE BRONC|6814C| 4. WINTERS TYLER (PERF # 2)|OAK LAKE, MB|PSW13 CITY WIDE
SADDLE BRONC|C7024C| 5. HEMART ADRIEN (PERF # 2)|CRA|PSC1 LAW & ORDER
SADDLE BRONC|6259C| 6. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|PS822 BACK PAY
SADDLE BRONC|7086C| 7. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|PS205 CERVAS RECHARGE 
SADDLE BRONC|6168| 8. GILCHRIST ADAM (PERF # 2)|MAPLE CREEK SK|PS636 TSN
SADDLE BRONC|C7063C| 9. ULRICH TYSON (PERF # 2)|CLIMAX, SK|PSD6 DETROIT CITY
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|6964C| 1. GRAVELLE PATRICK (PERF # 1)|BENGOUGH, SK|PW5 CITY BANDIT
BAREBACK|5976C| 2. BERTRAM BRADY (PERF # 1)|MAPLE CREEK,SK |P632 UNDER COVER
BAREBACK|7328C| 3. STEVENSON CARSON (PERF # 1)|RICHLEA, SK|PL046 ROMAN RULER
BAREBACK|7478| 4. JONES DANIEL "STRAWBS" (PERF # 1)|DUFFIELD, AB|P551 NEWTOWN
BAREBACK|7508| 5. MAY PARRISH (PERF # 1)|KENNEDY,SK|PX07 WIDE CORNER
BAREBACK|7117C| 6. VANDENAMEELE DANNY (PERF # 1)|LANGENBURG SK|PL15 CITY PARKING
BAREBACK|1632C| 7. PETERSON CALDER (PERF # 1)|GLENTWORTH, SK|PW7 VALLEY CITY
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7370C| 1. COLLINS COHEN (PERF # 2)|REGINA, SK|PC19 FREE SHIPPING
BAREBACK|5131C| 2. KOOPMAN MONTY (PERF # 2)|CONSUL, SK|PU6 CITY LIGHTS
BAREBACK|6658C| 3. HOFER JASON (PERF # 2)|MAPLE CREEK, SK|PC49 UNDECIDED
BAREBACK|6291C| 4. COLLINS LANE (PERF # 2)|ARDEN, MB    |PP57 FORTY NORTH
BAREBACK|C2277C| 5. HIGGINS LUKE (PERF # 2)|CRA|P109 BIG & RICH
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|6537C| 1. LYNCH PRESTON (PERF # 1)|LANGHAM, SK|PR841 FAKING IT
BULL RIDING|7444C| 2. MOEN JB (PERF # 1)|ELROSE, SK|PR993 LIPSETT TWO
BULL RIDING|7295C| 3. EDWARDS DAVID (PERF # 1)|GLASLYN, SK|PR37 BLAZE
BULL RIDING|1559C| 4. LEIPPI MATTHEW (PERF # 1)|KRONAU, SK|PRR13 BAR NONE
BULL RIDING|6570C| 5. BRANDT JEFF (PERF # 1)|AUSTIN, MB|PRA84 BOOSTER JUICE
BULL RIDING|7276C| 6. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|PR71 WEST WIND
BULL RIDING|6504C| 7. SPEIR LEVI (PERF # 1)|HERBERT, SK|PR613 613
BULL RIDING|7388C| 8. KNOX TYLER (PERF # 1)|PONTEIX, SK|PR983 JAW BREAKER
BULL RIDING|M2682C| 9. GILCHUK DENNIS (PERF # 1)|MRCA|PR068 LUG NUT
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7512| 1. KNIGHT MICHAEL (PERF # 2)|REGINA, SK|PRR13 BAR NONE
BULL RIDING|7526| 2. SLADE LACHLAN (PERF # 2)|SONNINGDALE SK|PR983 JAW BREAKER
BULL RIDING|7382C| 3. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|PR71 WEST WIND
BULL RIDING|1635C| 4. SCHUETT COLTON (PERF # 2)|RAINIER, AB|PR993 LIPSETT TWO
BULL RIDING|6823C| 5. ARBUTHNOTT JORDAN (PERF # 2)|HAYTER AB|PR37 BLAZE
BULL RIDING|CP7132| 6. LAPLANTE LANE (PERF # 2)|NORTH BATTLEFORD, SK|PR43 REAL DEAL
BULL RIDING|J1661C| 7. THOMAS MERVIN (PERF # 2)|ROSTHERN, SK|PR068 LUG NUT
BULL RIDING|1675C| 8. EBERLE KYLE (PERF # 2)|PILOT BUTTE, SK|PR636 UNI SELECT
BULL RIDING|C7314C| 9. KUBIK ZANE (PERF # 2)|CRA|PRA84 BOOSTER JUICE
BULL RIDING||PERFORMANCE: 3||
BULL RIDING|| ||
BULL RIDING|7410C| 1. ZUR COOPER (PERF # 3)|LUNDBRECK, AB|PR7 RESET
BULL RIDING|7510| 2. WARD TYRELL (PERF # 3)|THREE HILLS, AB|PR818 CAPTAIN
BULL RIDING|6505C| 3. ELLIS TY (PERF # 3)|SONNINGDALE, SK|PR713 SHOWCASE
BULL RIDING|1561C| 4. LOEPPKY TJ (PERF # 3)|CENTRAL BUTTE, SK|PR46 HODGE
BULL RIDING|J7359C| 5. BEAR CASEY (PERF # 3)|WHITEWOOD, SK|PR36 HANGOVER
BULL RIDING|C7001C| 6. OSTBY COLE (PERF # 3)|CRA|PR077 COWTOWN'S PRAIRIE BEAR
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|R100005| 1. TAYPOTAT CURTIS (PERF # 1)|INFR|
TIE DOWN ROPING|6635C| 2. MASTAD CLAY (PERF # 1)|PLEASANTDALE, SK |
TIE DOWN ROPING|R322219| 3. HOFER LOGAN (PERF # 1)|CPRA|
TIE DOWN ROPING|R1056| 4. TAYPOTAT DARRELL (PERF # 1)|INFR|
TIE DOWN ROPING|LOC6498| 5. VAYRO DALE (PERF # 1)|MNK|
TIE DOWN ROPING|R321967| 6. CORNET STACY (PERF # 1)|CPRA|
TIE DOWN ROPING|R7132C| 7. WILLIAMSON BLAKE (PERF # 1)|CRA|
TIE DOWN ROPING|C2511C| 8. CREASY KELLY (PERF # 1)|MEDICINE HAT, AB|
TIE DOWN ROPING|R11556| 9. CORNET COLT (PERF # 1)|CPRA|
TIE DOWN ROPING|2007C| 10. SWITZER BLAINE (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING|3876| 11. TAYPOTAT SAM (PERF # 1)|WHITEWOOD SK|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|R10880| 1. MILLER SHAWN (PERF # 3)|DALEMEAD, AB|
TIE DOWN ROPING|3948C| 2. BEVAN CAREY (PERF # 3)|CARIEVALE SK|
TIE DOWN ROPING|6071C| 3. KELLER SHAY (PERF # 3)|ROCKGLEN, SK|
