OFFICIAL DRAW FOR ESTON
Performance: 1. Friday 3 @ 6:00PM
Performance: 2. Saturday 4 @ 6:00PM
Performance: 3. Saturday 4 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|BS005 SCAR FACE
SADDLE BRONC|6870C| 2. FOUHSE TYREL (PERF # 1)|WHITE CITY, SK|BS055 PARTY CODE
SADDLE BRONC|6572C| 3. GORDON MIKE (PERF # 1)|MAPLE CREEK, SK|BS953 B.B. GUN
SADDLE BRONC|5328C| 4. HARDEN JOSH (PERF # 1)|BIG VALLEY, AB|BS-T FRONTIER WAY
SADDLE BRONC|C7063C| 5. ULRICH TYSON (PERF # 1)|CLIMAX, SK|BS901 SPARE CHANGE
SADDLE BRONC|6259C| 6. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|BS902 WESTERN EXPO
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6168| 1. GILCHRIST ADAM (PERF # 2)|MAPLE CREEK SK|BS141 CHICO
SADDLE BRONC|C7024C| 2. HEMART ADRIEN (PERF # 2)|CRA|BS053 CHROME BUCKLE
SADDLE BRONC|7420| 3. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|BS700 TOMMY BOY
SADDLE BRONC|6696C| 4. THURSTON WYATT (PERF # 2)|BIG VALLEY, AB|BS900 KRUSER
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7370C| 1. COLLINS COHEN (PERF # 1)|REGINA, SK|B804 TWISTED THISTLE
BAREBACK|7525| 2. WILLIAMS BRETT (PERF # 1)|STAVELY, AB|B82 SCAMP TOWN
BAREBACK|5976C| 3. BERTRAM BRADY (PERF # 1)|MAPLE CREEK,SK |B802 YONKER
BAREBACK|7508| 4. MAY PARRISH (PERF # 1)|KENNEDY,SK|B108 WOLF SHINE
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|6535C| 1. MOEN BUCK (PERF # 2)|ELROSE, SK|B801 SHE WOLF
BAREBACK|6291C| 2. COLLINS LANE (PERF # 2)|ARDEN, MB    |B701 THE GENERAL
BAREBACK|7328C| 3. STEVENSON CARSON (PERF # 2)|RICHLEA, SK|B2 SILVER BUCKLE
BAREBACK|1632C| 4. PETERSON CALDER (PERF # 2)|GLENTWORTH, SK|B800 MAJOR PARTY
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|6505C| 1. ELLIS TY (PERF # 1)|SONNINGDALE, SK|BCW7 RAIN DANCE
BULL RIDING|7512| 2. KNIGHT MICHAEL (PERF # 1)|REGINA, SK|BCW11 FOZZIE
BULL RIDING|7526| 3. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|BCW8 DARK SHADOWS
BULL RIDING|7382C| 4. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|BCZ40 OLD SKOOL COOL
BULL RIDING|6570C| 5. BRANDT JEFF (PERF # 1)|AUSTIN, MB|BC4 RADIO FLYER
BULL RIDING|7276C| 6. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|BCY42 BLOOD SHOT EYES
BULL RIDING|7446| 7. PITURA MARTY (PERF # 1)|STE ANNE, MB|BCY43 WHAT'S COOKIN'
BULL RIDING|7510| 8. WARD TYRELL (PERF # 1)|THREE HILLS, AB|BC7 LARGE MARVIN
BULL RIDING|7524| 9. HUNT RON (PERF # 1)|NANTON, AB|BCW12 BLACK LABEL
BULL RIDING|5460| 10. REGEHR WES (PERF # 1)|DELISLE SK|BC6 PALE FACE
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7444C| 1. MOEN JB (PERF # 2)|ELROSE, SK|BC01 AWOL NATION
BULL RIDING|6395| 2. MADDISON STEVE (PERF # 2)|CARMAN, MB|BCLR4V GRIN N BARRET
BULL RIDING|7456| 3. WATIER AUSTEN (PERF # 2)|KYLE, SK|BCW4 RAIN BOW WARRIOR
BULL RIDING|7031C| 4. SYMINGTON BRIAN (PERF # 2)|ASQUITH, SK |BCW1 ROCKY
BULL RIDING|C2288C| 5. MCCARTY AARON (PERF # 2)|KYLE, SK|BCY37 JUST BUSINESS
BULL RIDING|C2903C| 6. TATTRIE BRODY (PERF # 2)|CRA|BCY52 STRONG FOUNDATION
BULL RIDING|1635C| 7. SCHUETT COLTON (PERF # 2)|RAINIER, AB|BCW5 SCREAMIN COLOURS
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5311C| 1. WILLIAMSON SHAWN (PERF # 1)|MANKOTA, SK |
TIE DOWN ROPING|3956C| 2. HARDEN JEREMY  (PERF # 1)|CASTOR, AB|
TIE DOWN ROPING|6071C| 3. KELLER SHAY (PERF # 1)|ROCKGLEN, SK|
TIE DOWN ROPING|6648C| 4. HAYES WYATT (PERF # 1)|VAL MARIE, SK|
TIE DOWN ROPING|3996C| 5. ROOD CODY (PERF # 1)|BENGOUGH SK|
TIE DOWN ROPING|7049C| 6. MARCENKO GEORGE (PERF # 1)|ROCKGLEN, SK|
TIE DOWN ROPING|6259C| 7. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|
TIE DOWN ROPING|J7522| 8. SQUIRES AUSTIN (PERF # 1)|IRMA, AB|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6815C| 1. DAVIDSON JB (PERF # 2)|RIMBEY, AB|
TIE DOWN ROPING|6510C| 2. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|5373C| 3. RADKE CLINT (PERF # 2)|MARYFIELD, SK|
TIE DOWN ROPING|7438| 4. GULICK CHAD (PERF # 2)|WETASKIWIN, AB|
TIE DOWN ROPING|6635C| 5. MASTAD CLAY (PERF # 2)|PLEASANTDALE, SK |
TIE DOWN ROPING|3955C| 6. DUNHAM BRUCE (PERF # 2)|INDIAN HEAD, SK|
TIE DOWN ROPING|6857C| 7. MCLEOD TYCE (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|7472| 8. JOHNSON DAWSON (PERF # 2)|STRATHMORE, AB|
TIE DOWN ROPING|6661C| 9. FINNERTY DANNY (PERF # 2)|DUCHESS, AB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5942C| 1. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
TIE DOWN ROPING|5020C| 2. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|5866C| 3. MOEBIS TREVOR (PERF # 3)|SEVEN PERSONS, AB|
TIE DOWN ROPING|7514| 4. DYCK STRAN (PERF # 3)|MEDICINE HAT, AB|
TIE DOWN ROPING|C6915C| 5. HUGHSON CLARK (PERF # 3)|CRA|
TIE DOWN ROPING|C8044C| 6. HEATON DAVE (PERF # 3)|CRA|
TIE DOWN ROPING|C7132C| 7. WILLIAMSON BLAKE (PERF # 3)|CRA|
TIE DOWN ROPING|4050C| 8. MOEN AARON (PERF # 3)|STEWART VALLEY  SK|
TIE DOWN ROPING|2007C| 9. SWITZER BLAINE (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|6293C| 10. WALBURGER ROSS (PERF # 3)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|5298C| 11. FOLK KEITH (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|7430C| 12. ANDERSON MACLIN (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|5019C| 13. GETZ CODY (PERF # 3)|BALGONIE, SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|6736| 1. SHUCKBURGH RYAN (PERF # 1)|INNISFAIL, AB|
STEER WRESTLING|6505C| 2. ELLIS TY (PERF # 1)|SONNINGDALE, SK|
STEER WRESTLING|7520| 3. CLARY MATTHEW (PERF # 1)|SPRUCE GROVE, AB|
STEER WRESTLING|7390C| 4. LANIGAN KLAY (PERF # 1)|STRATHMORE, AB|
STEER WRESTLING|3956C| 5. HARDEN JEREMY  (PERF # 1)|CASTOR, AB|
STEER WRESTLING|5328C| 6. HARDEN JOSH (PERF # 1)|BIG VALLEY, AB|
STEER WRESTLING|3636C| 7. MCPHEE BRIAN (PERF # 1)|HANLEY SK|
