OFFICIAL DRAW FOR UNITY, SK
Performance: 1. Saturday 4 @ 5:30PM
Performance: 2. Sunday 5 @ 2:00PM
Performance: 3. Sunday 5 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|BS85 POACHERS MOON
SADDLE BRONC|7336C| 2. ASHBACHER KOLE (PERF # 1)|ARROWWOOD, AB|BS683 LOWRY
SADDLE BRONC|7482| 3. WANCHUK KOLBY (PERF # 1)|SHERWOOD PARK AB|BS4 FORGET ME NOT
SADDLE BRONC|7320C| 4. KNIGHT TOM (PERF # 1)|REGINA, SK|BS67 PARK RANGER
SADDLE BRONC|6169C| 5. WILSON TYLER (PERF # 1)|MEADOW LAKE SK|BS100 CASEY MAC
SADDLE BRONC|6259C| 6. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|BS70 STARS AND STRIPES
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6572C| 1. GORDON MIKE (PERF # 2)|MAPLE CREEK, SK|BS703 BUTTERCUP
SADDLE BRONC|7420| 2. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|BS8 TWISTER
SADDLE BRONC|6696C| 3. THURSTON WYATT (PERF # 2)|BIG VALLEY, AB|BS481 THE JUICE
SADDLE BRONC|7428| 4. ZWEIFEL CHASE (PERF # 2)|PARADISE HILL, SK|BS06 SIX GUNS
SADDLE BRONC|5178| 5. SCHELLENBERG BERNIE (PERF # 2)|MELFORT, SK|BS603 ANVIL HEAD
SADDLE BRONC|C7024C| 6. HEMART ADRIEN (PERF # 2)|CRA|BS08 BLACK WATCH
SADDLE BRONC|6870C| 7. FOUHSE TYREL (PERF # 2)|WHITE CITY, SK|BSJ11 AMERICAN LEGEND
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7370C| 1. COLLINS COHEN (PERF # 1)|REGINA, SK|BW2 CITY STORM
BAREBACK|7508| 2. MAY PARRISH (PERF # 1)|KENNEDY,SK|B42 42 BELOW
BAREBACK|7525| 3. WILLIAMS BRETT (PERF # 1)|STAVELY, AB|BK74 HIGH LINER
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|5976C| 1. BERTRAM BRADY (PERF # 2)|MAPLE CREEK,SK |B24 BLAZE
BAREBACK|7328C| 2. STEVENSON CARSON (PERF # 2)|RICHLEA, SK|B101 3 LILLIES
BAREBACK|6291C| 3. COLLINS LANE (PERF # 2)|ARDEN, MB    |B41 BIG SHOT
BAREBACK|1632C| 4. PETERSON CALDER (PERF # 2)|GLENTWORTH, SK|B171 JAMBONE
BAREBACK|6964C| 5. GRAVELLE PATRICK (PERF # 2)|BENGOUGH, SK|B88 SCARY MARY
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|6505C| 1. ELLIS TY (PERF # 1)|SONNINGDALE, SK|BR922 JOE SCHMO
BULL RIDING|7512| 2. KNIGHT MICHAEL (PERF # 1)|REGINA, SK|BR89 STRAIGHT SHOOTER
BULL RIDING|7526| 3. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|BR957 HAND BURNER
BULL RIDING|7382C| 4. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|BR907 PAYMENT IN BLOOD
BULL RIDING|6570C| 5. BRANDT JEFF (PERF # 1)|AUSTIN, MB|BR903 SNAKE EYES
BULL RIDING|7276C| 6. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|BRU9 SPINNER
BULL RIDING|7446| 7. PITURA MARTY (PERF # 1)|STE ANNE, MB|BR856 ITCHY
BULL RIDING|7524| 8. HUNT RON (PERF # 1)|NANTON, AB|BR826 JOE DIRT
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7444C| 1. MOEN JB (PERF # 2)|ELROSE, SK|BR808 COOL VALLEY
BULL RIDING|6395| 2. MADDISON STEVE (PERF # 2)|CARMAN, MB|BRU23 HEAVEN KNOWS
BULL RIDING|6823C| 3. ARBUTHNOTT JORDAN (PERF # 2)|HAYTER AB|BR943 CHECKERS
BULL RIDING|C2903C| 4. TATTRIE BRODY (PERF # 2)|CRA|BR134 BAGGING CHICKENS
BULL RIDING|C5570C| 5. SODERBURG CHASE JAY (PERF # 2)|CRA|BR31 BAD SELF ESTEEM
BULL RIDING|C2661C| 6. COBB WYATT (PERF # 2)|CRA|BR900 TORCH HEAD
BULL RIDING|7510| 7. WARD TYRELL (PERF # 2)|THREE HILLS, AB|BR856 ITCHY
BULL RIDING|1635C| 8. SCHUETT COLTON (PERF # 2)|RAINIER, AB|BR601 SHY GUY
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|C7132C| 1. WILLIAMSON BLAKE (PERF # 1)|CRA|
TIE DOWN ROPING|5866C| 2. MOEBIS TREVOR (PERF # 1)|SEVEN PERSONS, AB|
TIE DOWN ROPING|J7522| 3. SQUIRES AUSTIN (PERF # 1)|IRMA, AB|
TIE DOWN ROPING|3956C| 4. HARDEN JEREMY  (PERF # 1)|CASTOR, AB|
TIE DOWN ROPING|6293C| 5. WALBURGER ROSS (PERF # 1)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|5019C| 6. GETZ CODY (PERF # 1)|BALGONIE, SK|
TIE DOWN ROPING|6259C| 7. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|
TIE DOWN ROPING|5298C| 8. FOLK KEITH (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6510C| 1. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|6648C| 2. HAYES WYATT (PERF # 2)|VAL MARIE, SK|
TIE DOWN ROPING|5942C| 3. SIGFUSSON SCOTT (PERF # 2)|DAVIDSON, SK|
TIE DOWN ROPING|6857C| 4. MCLEOD TYCE (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|C6915C| 5. HUGHSON CLARK (PERF # 2)|CRA|
TIE DOWN ROPING|7049C| 6. MARCENKO GEORGE (PERF # 2)|ROCKGLEN, SK|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6815C| 1. DAVIDSON JB (PERF # 3)|RIMBEY, AB|
TIE DOWN ROPING|7472| 2. JOHNSON DAWSON (PERF # 3)|STRATHMORE, AB|
TIE DOWN ROPING|C8044C| 3. HEATON DAVE (PERF # 3)|CRA|
TIE DOWN ROPING|7514| 4. DYCK STRAN (PERF # 3)|MEDICINE HAT, AB|
TIE DOWN ROPING|6635C| 5. MASTAD CLAY (PERF # 3)|PLEASANTDALE, SK |
TIE DOWN ROPING|7438| 6. GULICK CHAD (PERF # 3)|WETASKIWIN, AB|
TIE DOWN ROPING|2007C| 7. SWITZER BLAINE (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|5373C| 8. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
TIE DOWN ROPING|6071C| 9. KELLER SHAY (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|3996C| 10. ROOD CODY (PERF # 3)|BENGOUGH SK|
TIE DOWN ROPING|4050C| 11. MOEN AARON (PERF # 3)|STEWART VALLEY  SK|
TIE DOWN ROPING|R11329C| 12. POPESCUL TYLER (PERF # 3)|CPRA|
TIE DOWN ROPING|5020C| 13. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|3955C| 14. DUNHAM BRUCE (PERF # 3)|INDIAN HEAD, SK|
TIE DOWN ROPING|6661C| 15. FINNERTY DANNY (PERF # 3)|DUCHESS, AB|
TIE DOWN ROPING|R26936| 16. CASSIDY CURTIS (PERF # 3)|CPRA|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|5860C| 1. STORY GARETT  (PERF # 1)|NETHERHILL SK|
STEER WRESTLING|3956C| 2. HARDEN JEREMY  (PERF # 1)|CASTOR, AB|
STEER WRESTLING|6685C| 3. NEWTON BLAKE (PERF # 1)|DEL BONITA, AB|
STEER WRESTLING|7520| 4. CLARY MATTHEW (PERF # 1)|SPRUCE GROVE, AB|
STEER WRESTLING|6505C| 5. ELLIS TY (PERF # 1)|SONNINGDALE, SK|
