OFFICIAL DRAW FOR STETTLER, AB
Performance: 1. Friday 10 @ 6:30PM
Performance: 2. Saturday 11 @ 6:30PM
Performance: 3. Friday 10 @ 1:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|6696C| 1. THURSTON WYATT (PERF # 1)|BIG VALLEY, AB|BS235 LITTLE SABASTIAN
SADDLE BRONC|6259C| 2. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|BS109 FROG LIP
SADDLE BRONC|7382C| 3. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|BS005 SCAR FACE
SADDLE BRONC|7336C| 4. ASHBACHER KOLE (PERF # 1)|ARROWWOOD, AB|BS055 PARTY CODE
SADDLE BRONC|7482| 5. WANCHUK KOLBY (PERF # 1)|SHERWOOD PARK AB|BS801 MAJOR LUKE
SADDLE BRONC|7320C| 6. KNIGHT TOM (PERF # 1)|REGINA, SK|BS953 B.B. GUN
SADDLE BRONC|6572C| 7. GORDON MIKE (PERF # 1)|MAPLE CREEK, SK|BS001 SECRET CODE
SADDLE BRONC|C2912C| 8. YOUNG LOGAN (PERF # 1)|CRA|BS31 WHISKEY GIRL
SADDLE BRONC|C2272| 9. DAHM DAWSON (PERF # 1)|CRA|BS902 WESTERN EXPO
SADDLE BRONC|5631C| 10. O'DEMPSEY MARK (PERF # 1)|MAYERTHORPE, AB|BS053 CHROME BUCKLE
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7420| 1. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|BS104 BIG PEPPER
SADDLE BRONC|6168| 2. GILCHRIST ADAM (PERF # 2)|MAPLE CREEK SK|BS700 TOMMY BOY
SADDLE BRONC|6169C| 3. WILSON TYLER (PERF # 2)|MEADOW LAKE SK|BS-T FRONTIER WAY
SADDLE BRONC|7428| 4. ZWEIFEL CHASE (PERF # 2)|PARADISE HILL, SK|BS58 CONTENDER
SADDLE BRONC|6381| 5. WATT COLEMAN (PERF # 2)|HARDISTY, AB|BS9 MERCEDES
SADDLE BRONC|R330789| 6. MELBY COLTON (PERF # 2)|CPRA|BS36 TREASURE CHEST 
SADDLE BRONC|R328673| 7. THOMSON CHAD (PERF # 2)|CPRA|BS34 FANTASY LAND
SADDLE BRONC|R333793| 8. SCOTT COLE (PERF # 2)|CPRA|BS111 BAR TALK
SADDLE BRONC|R328687| 9. BROWN JAKE (PERF # 2)|CPRA|BS27 KLONDIKE
SADDLE BRONC|R328534| 10. WATT LANE (PERF # 2)|CPRA|BS901 SPARE CHANGE
SADDLE BRONC|R1385| 11. GRATTON DANIEL (PERF # 2)|FCA|BS90 ROLE MODEL
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7370C| 1. COLLINS COHEN (PERF # 1)|REGINA, SK|B108 WOLF SHINE
BAREBACK|7525| 2. WILLIAMS BRETT (PERF # 1)|STAVELY, AB|B701 THE GENERAL
BAREBACK|6291C| 3. COLLINS LANE (PERF # 1)|ARDEN, MB    |B106 WIND TALKER
BAREBACK|5976C| 4. BERTRAM BRADY (PERF # 1)|MAPLE CREEK,SK |B801 SHE WOLF
BAREBACK|7478| 5. JONES DANIEL "STRAWBS" (PERF # 1)|DUFFIELD, AB|BY5 TIM BIT
BAREBACK|1632C| 6. PETERSON CALDER (PERF # 1)|GLENTWORTH, SK|B800 MAJOR PARTY
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7117C| 1. VANDENAMEELE DANNY (PERF # 2)|LANGENBURG SK|BY11 FRUIT CUP
BAREBACK|5131C| 2. KOOPMAN MONTY (PERF # 2)|CONSUL, SK|B91 VIEW MASTER
BAREBACK|6658C| 3. HOFER JASON (PERF # 2)|MAPLE CREEK, SK|B804 TWISTED THISTLE
BAREBACK|6535C| 4. MOEN BUCK (PERF # 2)|ELROSE, SK|B280 BIG BIRD
BAREBACK|7328C| 5. STEVENSON CARSON (PERF # 2)|RICHLEA, SK|BY5 TIM BIT
BAREBACK|C2254C| 6. KLEIN JOHNATHAN (PERF # 2)|CRA|B21 PAINTED SAINT
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7382C| 1. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|BC9 SHORT NOTICE
BULL RIDING|7526| 2. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|BCY37 JUST BUSINESS
BULL RIDING|7512| 3. KNIGHT MICHAEL (PERF # 1)|REGINA, SK|BCW5 SCREAMIN COLOURS
BULL RIDING|7524| 4. HUNT RON (PERF # 1)|NANTON, AB|BC900 COOL 'N' BREEZY
BULL RIDING|7510| 5. WARD TYRELL (PERF # 1)|THREE HILLS, AB|BCW7 RAIN DANCE
BULL RIDING|CP7132| 6. LAPLANTE LANE (PERF # 1)|NORTH BATTLEFORD, SK|BC7 LARGE MARVIN
BULL RIDING|6823C| 7. ARBUTHNOTT JORDAN (PERF # 1)|HAYTER AB|BCZ34 SUNS OUT GUNS OUT
BULL RIDING|C7001C| 8. OSTBY COLE (PERF # 1)|CRA|BC6 PALE FACE
BULL RIDING|C5570C| 9. SODERBURG CHASE JAY (PERF # 1)|CRA|BCZ45 FAJITA
BULL RIDING|C2661C| 10. COBB WYATT (PERF # 1)|CRA|BCW12 BLACK LABEL
BULL RIDING|C2905C| 11. PHILLIPS LONNIE (PERF # 1)|CRA|BCW4 RAIN BOW WARRIOR
BULL RIDING|C2251C| 12. BIGCHILD CYLAS (PERF # 1)|CRA|BCZ33 HAUNTED
BULL RIDING|1635C| 13. SCHUETT COLTON (PERF # 1)|RAINIER, AB|BCY53 HOT PASS
BULL RIDING|C7314C| 14. KUBIK ZANE (PERF # 1)|CRA|BCLR4V GRIN N BARRET
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|1561C| 1. LOEPPKY TJ (PERF # 2)|CENTRAL BUTTE, SK|BC7 LARGE MARVIN
BULL RIDING|7444C| 2. MOEN JB (PERF # 2)|ELROSE, SK|BC231 DODGE N HELL
BULL RIDING|J7069C| 3. TETZ NICHOLAS (PERF # 2)|CALGARY, AB|BCY52 STRONG FOUNDATION
BULL RIDING|C2276C| 4. THOMSON K'S (PERF # 2)|CRA |BC900 COOL 'N' BREEZY
BULL RIDING|7410C| 5. ZUR COOPER (PERF # 2)|LUNDBRECK, AB|BCLR4V GRIN N BARRET
BULL RIDING|C1258C| 6. CHARTERIS COLBY (PERF # 2)|CRA|BC6 PALE FACE
BULL RIDING|C3133C| 7. BOULDING JEREMY (PERF # 2)|CRA|BC01 AWOL NATION
BULL RIDING|LOC6543| 8. VIVILA ARMANDO (PERF # 2)|STL|BCW6 CACTUS
BULL RIDING|C2274C| 9. SALMON REED (PERF # 2)|CRA|BCW1 ROCKY
BULL RIDING|C2935C| 10. MEYN AARON (PERF # 2)|CRA|BCZ33 HAUNTED
BULL RIDING|C2903C| 11. TATTRIE BRODY (PERF # 2)|CRA|BCY50 HAWAII FIVE O
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6857C| 1. MCLEOD TYCE (PERF # 1)|WALDECK, SK|
TIE DOWN ROPING|7462| 2. HOFER CHASE (PERF # 1)|MAGRATH, AB|
TIE DOWN ROPING|LOC6561| 3. EDGE DEAN (PERF # 1)|STL|
TIE DOWN ROPING|6539C| 4. NEITZ MARK (PERF # 1)|STETTLER, AB|
TIE DOWN ROPING|6293C| 5. WALBURGER ROSS (PERF # 1)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|6259C| 6. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|
TIE DOWN ROPING|7430C| 7. ANDERSON MACLIN (PERF # 1)|ROCKGLEN, SK|
TIE DOWN ROPING|7532| 8. MITCHELL COLE (PERF # 1)|OAK LAKE, MB|
TIE DOWN ROPING|6510C| 9. MCLEOD TUFTIN (PERF # 1)|WALDECK, SK|
TIE DOWN ROPING|5373C| 10. RADKE CLINT (PERF # 1)|MARYFIELD, SK|
TIE DOWN ROPING|5298C| 11. FOLK KEITH (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING|6933C| 12. SMITH LAYNE (PERF # 1)|OAK LAKE, MB|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
