OFFICIAL DRAW FOR WARMAN
Performance: 1. Friday 10 @ 6:30PM
Performance: 2. Saturday 11 @ 6:00PM
Performance: 3. Sunday 12 @ 2:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7420| 1. COSTELLO TIMOTHY (PERF # 1)|BYEMOOR, AB|BS4 FORGET ME NOT
SADDLE BRONC|5178| 2. SCHELLENBERG BERNIE (PERF # 1)|MELFORT, SK|BS67 PARK RANGER
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6696C| 1. THURSTON WYATT (PERF # 2)|BIG VALLEY, AB|BS604 ROSIE
SADDLE BRONC|6870C| 2. FOUHSE TYREL (PERF # 2)|WHITE CITY, SK|BS70 STARS AND STRIPES
SADDLE BRONC|5283C| 3. FITZPATRICK RHETT (PERF # 2)|WOOD MOUNTAIN, SK|BS100 CASEY MAC
SADDLE BRONC|7336C| 4. ASHBACHER KOLE (PERF # 2)|ARROWWOOD, AB|BS06 SIX GUNS
SADDLE BRONC|7482| 5. WANCHUK KOLBY (PERF # 2)|SHERWOOD PARK AB|BS481 THE JUICE
SADDLE BRONC|7320C| 6. KNIGHT TOM (PERF # 2)|REGINA, SK|BS08 BLACK WATCH
SADDLE BRONC||PERFORMANCE: 3||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 3)|SONNINGDALE, SK|BS603 ANVIL HEAD
SADDLE BRONC|6259C| 2. HOUSTON RICHARD (PERF # 3)|WAINWRIGHT, AB|BS85 POACHERS MOON
SADDLE BRONC|5328C| 3. HARDEN JOSH (PERF # 3)|BIG VALLEY, AB|BS8 TWISTER
SADDLE BRONC|6814C| 4. WINTERS TYLER (PERF # 3)|OAK LAKE, MB|BSJ11 AMERICAN LEGEND
SADDLE BRONC|6649C| 5. BOURQUE CHASE (PERF # 3)|PELLY, SK|BS683 LOWRY
SADDLE BRONC|6392C| 6. THOMPSON KIRK (PERF # 3)|OAK LAKE, MB|BS703 BUTTERCUP
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7117C| 1. VANDENAMEELE DANNY (PERF # 1)|LANGENBURG SK|B42 42 BELOW
BAREBACK|5131C| 2. KOOPMAN MONTY (PERF # 1)|CONSUL, SK|B41 BIG SHOT
BAREBACK|6658C| 3. HOFER JASON (PERF # 1)|MAPLE CREEK, SK|B24 BLAZE
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7525| 1. WILLIAMS BRETT (PERF # 2)|STAVELY, AB|B31 WHISKEY GIRL
BAREBACK||PERFORMANCE: 3||
BAREBACK|| ||
BAREBACK|6535C| 1. MOEN BUCK (PERF # 3)|ELROSE, SK|B350 TOO GOOD     
BAREBACK|6291C| 2. COLLINS LANE (PERF # 3)|ARDEN, MB    |B87 SAND SPIKE
BAREBACK|6811| 3. SHOLD ANDY (PERF # 3)|RED DEER COUNTY, AB|B88 SCARY MARY
BAREBACK|7508| 4. MAY PARRISH (PERF # 3)|KENNEDY,SK|BK74 HIGH LINER
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7444C| 1. MOEN JB (PERF # 1)|ELROSE, SK|BR856 ITCHY
BULL RIDING|J1661C| 2. THOMAS MERVIN (PERF # 1)|ROSTHERN, SK|BR922 JOE SCHMO
BULL RIDING|M2682C| 3. GILCHUK DENNIS (PERF # 1)|MRCA|BR33 COMING FOR YOU
BULL RIDING|5140C| 4. KOOPMAN JJ (PERF # 1)|JANSEN, SK|BR31 BAD SELF ESTEEM
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7524| 1. HUNT RON (PERF # 2)|NANTON, AB|BRU9 SPINNER
BULL RIDING|6395| 2. MADDISON STEVE (PERF # 2)|CARMAN, MB|BR826 JOE DIRT
BULL RIDING|CP7132| 3. LAPLANTE LANE (PERF # 2)|NORTH BATTLEFORD, SK|BR89 STRAIGHT SHOOTER
BULL RIDING|6823C| 4. ARBUTHNOTT JORDAN (PERF # 2)|HAYTER AB|BR921 PAYMENT IN BLOOD
BULL RIDING|5341C| 5. LAPLANTE DANIEL (PERF # 2)|SASKATOON, SK       |BR901 SNAKE EYES
BULL RIDING|7510| 6. WARD TYRELL (PERF # 2)|THREE HILLS, AB|BR957 HAND BURNER
BULL RIDING||PERFORMANCE: 3||
BULL RIDING|| ||
BULL RIDING|7382C| 1. BALLARD CODY (PERF # 3)|SONNINGDALE, SK|BR943 CHECKERS
BULL RIDING|7526| 2. SLADE LACHLAN (PERF # 3)|SONNINGDALE SK|BRU23 HEAVEN KNOWS
BULL RIDING|7512| 3. KNIGHT MICHAEL (PERF # 3)|REGINA, SK|BR22 STEVIE
BULL RIDING|1559C| 4. LEIPPI MATTHEW (PERF # 3)|KRONAU, SK|BR808 COOL VALLEY
BULL RIDING|1561C| 5. LOEPPKY TJ (PERF # 3)|CENTRAL BUTTE, SK|BR900 TORCH HEAD
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|7417| 1. WILEY BILLY (PERF # 1)|MANOR, SK|
TIE DOWN ROPING|5020C| 2. GETZ TYLER (PERF # 1)|LUCKY LAKE, SK|
TIE DOWN ROPING|2007C| 3. SWITZER BLAINE (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING|6835C| 4. BROWN ORY (PERF # 1)|LENORE, MB|
TIE DOWN ROPING|3955C| 5. DUNHAM BRUCE (PERF # 1)|INDIAN HEAD, SK|
TIE DOWN ROPING|5483C| 6. PORTER DEVON (PERF # 1)|SOLSGIRTH, MB|
TIE DOWN ROPING|7049C| 7. MARCENKO GEORGE (PERF # 1)|ROCKGLEN, SK|
TIE DOWN ROPING|P7476| 8. ESMOND DAVID (PERF # 1)|ELBOW, SK|
TIE DOWN ROPING|5019C| 9. GETZ CODY (PERF # 1)|BALGONIE, SK|
TIE DOWN ROPING|5085C| 10. FOLK KEVIN (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5373C| 1. RADKE CLINT (PERF # 2)|MARYFIELD, SK|
TIE DOWN ROPING|C7132C| 2. WILLIAMSON BLAKE (PERF # 2)|CRA|
TIE DOWN ROPING|6661C| 3. FINNERTY DANNY (PERF # 2)|DUCHESS, AB|
TIE DOWN ROPING|7532| 4. MITCHELL COLE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|7462| 5. HOFER CHASE (PERF # 2)|MAGRATH, AB|
TIE DOWN ROPING|6510C| 6. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|6933C| 7. SMITH LAYNE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|5298C| 8. FOLK KEITH (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|6293C| 9. WALBURGER ROSS (PERF # 2)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|6857C| 10. MCLEOD TYCE (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|7430C| 11. ANDERSON MACLIN (PERF # 2)|ROCKGLEN, SK|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6259C| 1. HOUSTON RICHARD (PERF # 3)|WAINWRIGHT, AB|
TIE DOWN ROPING|3996C| 2. ROOD CODY (PERF # 3)|BENGOUGH SK|
TIE DOWN ROPING|6815C| 3. DAVIDSON JB (PERF # 3)|RIMBEY, AB|
TIE DOWN ROPING|5942C| 4. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
TIE DOWN ROPING|6071C| 5. KELLER SHAY (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|7472| 6. JOHNSON DAWSON (PERF # 3)|STRATHMORE, AB|
TIE DOWN ROPING|6635C| 7. MASTAD CLAY (PERF # 3)|PLEASANTDALE, SK |
TIE DOWN ROPING|7438| 8. GULICK CHAD (PERF # 3)|WETASKIWIN, AB|
TIE DOWN ROPING|5643C| 9. SWITZER MATT (PERF # 3)|YORKTON, SK      |
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|1705C| 1. MARCENKO ZANE (PERF # 1)|ROCKGLEN, SK|
STEER WRESTLING|7169C| 2. BRIGDEN AVERY (PERF # 1)|SOURIS, MB|
