OFFICIAL DRAW FOR LANCER
Performance: 1. Saturday 11 @ 4:00PM
Performance: 2. Sunday 12 @ 2:00PM
Performance: 3. Sunday 12 @ 10:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|PSX27 DUSTY TRAIL
SADDLE BRONC|6259C| 2. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|PS012 BIG SKY
SADDLE BRONC|6814C| 3. WINTERS TYLER (PERF # 1)|OAK LAKE, MB|PS109 BIG AND RICH
SADDLE BRONC|6649C| 4. BOURQUE CHASE (PERF # 1)|PELLY, SK|PS904 FRICTION
SADDLE BRONC|6392C| 5. THOMPSON KIRK (PERF # 1)|OAK LAKE, MB|PS822 BACK PAY
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7420| 1. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|PSW7 VALLEY CITY
SADDLE BRONC|6696C| 2. THURSTON WYATT (PERF # 2)|BIG VALLEY, AB|PS205 CERVAS RECHARGE 
SADDLE BRONC|6572C| 3. GORDON MIKE (PERF # 2)|MAPLE CREEK, SK|PSW13 CITY WIDE
SADDLE BRONC|C7024C| 4. HEMART ADRIEN (PERF # 2)|CRA|PSX44 DUSTY DAY  
SADDLE BRONC|6870C| 5. FOUHSE TYREL (PERF # 2)|WHITE CITY, SK|PS003 WIGGLES
SADDLE BRONC|5283C| 6. FITZPATRICK RHETT (PERF # 2)|WOOD MOUNTAIN, SK|PS215 ROLL CALL
SADDLE BRONC|6168| 7. GILCHRIST ADAM (PERF # 2)|MAPLE CREEK SK|PS551 NEW TOWN
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7370C| 1. COLLINS COHEN (PERF # 1)|REGINA, SK|P772 SIDE EFFECT
BAREBACK|7508| 2. MAY PARRISH (PERF # 1)|KENNEDY,SK|PC49 UNDECIDED
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7525| 1. WILLIAMS BRETT (PERF # 2)|STAVELY, AB|PL046 ROMAN RULER
BAREBACK|5976C| 2. BERTRAM BRADY (PERF # 2)|MAPLE CREEK,SK |P632 UNDER COVER
BAREBACK|7328C| 3. STEVENSON CARSON (PERF # 2)|RICHLEA, SK|PX10 CITY BELL
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7382C| 1. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|PR841 FAKING IT
BULL RIDING|7526| 2. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|PR71 WEST WIND
BULL RIDING|7512| 3. KNIGHT MICHAEL (PERF # 1)|REGINA, SK|PR36 HANGOVER
BULL RIDING|7510| 4. WARD TYRELL (PERF # 1)|THREE HILLS, AB|PR7 RESET
BULL RIDING|1559C| 5. LEIPPI MATTHEW (PERF # 1)|KRONAU, SK|PR37 BLAZE
BULL RIDING|7388C| 6. KNOX TYLER (PERF # 1)|PONTEIX, SK|PR068 LUG NUT
BULL RIDING|7456| 7. WATIER AUSTEN (PERF # 1)|KYLE, SK|PRR13 BAR NONE
BULL RIDING|C2288C| 8. MCCARTY AARON (PERF # 1)|KYLE, SK|PRA84 BOOSTER JUICE
BULL RIDING|1635C| 9. SCHUETT COLTON (PERF # 1)|RAINIER, AB|PR636 UNI SELECT
BULL RIDING|C7314C| 10. KUBIK ZANE (PERF # 1)|CRA|PR818 CAPTAIN
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7524| 1. HUNT RON (PERF # 2)|NANTON, AB|PR636 UNI SELECT
BULL RIDING|7444C| 2. MOEN JB (PERF # 2)|ELROSE, SK|PR068 LUG NUT
BULL RIDING|6395| 3. MADDISON STEVE (PERF # 2)|CARMAN, MB|PR007 MIDNIGHT TOKEN
BULL RIDING|6504C| 4. SPEIR LEVI (PERF # 2)|HERBERT, SK|PRA84 BOOSTER JUICE
BULL RIDING|C2903C| 5. TATTRIE BRODY (PERF # 2)|CRA|PR713 SHOWCASE
BULL RIDING|1675C| 6. EBERLE KYLE (PERF # 2)|PILOT BUTTE, SK|PR46 HODGE
BULL RIDING|C7001C| 7. OSTBY COLE (PERF # 2)|CRA|PR43 REAL DEAL
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|R330289| 1. TRAVAGLIA NICK (PERF # 1)|CPRA|
TIE DOWN ROPING|R26936| 2. CASSIDY CURTIS (PERF # 1)|CPRA|
TIE DOWN ROPING|3955C| 3. DUNHAM BRUCE (PERF # 1)|INDIAN HEAD, SK|
TIE DOWN ROPING|6259C| 4. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|
TIE DOWN ROPING|6555| 5. PEROZAK MACE (PERF # 1)|CLARESHOLM, AB|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|7462| 1. HOFER CHASE (PERF # 2)|MAGRATH, AB|
TIE DOWN ROPING|6933C| 2. SMITH LAYNE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|5373C| 3. RADKE CLINT (PERF # 2)|MARYFIELD, SK|
TIE DOWN ROPING|5298C| 4. FOLK KEITH (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|7532| 5. MITCHELL COLE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|6293C| 6. WALBURGER ROSS (PERF # 2)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|7430C| 7. ANDERSON MACLIN (PERF # 2)|ROCKGLEN, SK|
TIE DOWN ROPING|5085C| 8. FOLK KEVIN (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|2007C| 9. SWITZER BLAINE (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|5020C| 10. GETZ TYLER (PERF # 2)|LUCKY LAKE, SK|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6510C| 1. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|7514| 2. DYCK STRAN (PERF # 3)|MEDICINE HAT, AB|
TIE DOWN ROPING|5866C| 3. MOEBIS TREVOR (PERF # 3)|SEVEN PERSONS, AB|
TIE DOWN ROPING|7049C| 4. MARCENKO GEORGE (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|5311C| 5. WILLIAMSON SHAWN (PERF # 3)|MANKOTA, SK |
TIE DOWN ROPING|3948C| 6. BEVAN CAREY (PERF # 3)|CARIEVALE SK|
TIE DOWN ROPING|6857C| 7. MCLEOD TYCE (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|6661C| 8. FINNERTY DANNY (PERF # 3)|DUCHESS, AB|
TIE DOWN ROPING|C7132C| 9. WILLIAMSON BLAKE (PERF # 3)|CRA|
TIE DOWN ROPING|5019C| 10. GETZ CODY (PERF # 3)|BALGONIE, SK|
TIE DOWN ROPING|4050C| 11. MOEN AARON (PERF # 3)|STEWART VALLEY  SK|
TIE DOWN ROPING|7417| 12. WILEY BILLY (PERF # 3)|MANOR, SK|
TIE DOWN ROPING|5483C| 13. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|M1210C| 1. HAGAN ALISTAIR (PERF # 1)|VIRDEN MB|
STEER WRESTLING|M2072C| 2. KING JOE (PERF # 1)|VIRDEN, MB|
STEER WRESTLING|5328C| 3. HARDEN JOSH (PERF # 1)|BIG VALLEY, AB|
STEER WRESTLING|5860C| 4. STORY GARETT  (PERF # 1)|NETHERHILL SK|
STEER WRESTLING|M1629C| 5. HAGAN THOMAS (PERF # 1)|VIRDEN, MB|
STEER WRESTLING|3956C| 6. HARDEN JEREMY  (PERF # 1)|CASTOR, AB|
STEER WRESTLING|7520| 7. CLARY MATTHEW (PERF # 1)|SPRUCE GROVE, AB|
STEER WRESTLING|R26936| 8. CASSIDY CURTIS (PERF # 1)|CPRA|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|R11366| 1. GUZE JOSEPH (PERF # 2)|CPRA|
STEER WRESTLING|R329492| 2. WILLICK TY (PERF # 2)|CPRA|
