OFFICIAL DRAW FOR COUTTS, AB
Performance: 1. Saturday 18 @ 
Performance: 2. Sunday 19 @ 1:00PM
Performance: 3. Saturday 18 @ 
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|LS102 MAINLINE
SADDLE BRONC|7420| 2. COSTELLO TIMOTHY (PERF # 1)|BYEMOOR, AB|LS7 JOKERS WILD
SADDLE BRONC|6168| 3. GILCHRIST ADAM (PERF # 1)|MAPLE CREEK SK|LS13 X FACTOR
SADDLE BRONC|6259C| 4. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|LS700 CINDY
SADDLE BRONC|C7024C| 5. HEMART ADRIEN (PERF # 1)|CRA|LS03 CASH N CARRY
SADDLE BRONC|C7063C| 6. ULRICH TYSON (PERF # 1)|CLIMAX, SK|LS459 BOMB SCARE
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7336C| 1. ASHBACHER KOLE (PERF # 2)|ARROWWOOD, AB|LS721 BROKEN PROMISE
SADDLE BRONC|7320C| 2. KNIGHT TOM (PERF # 2)|REGINA, SK|LS30 BLUE
SADDLE BRONC|7482| 3. WANCHUK KOLBY (PERF # 2)|SHERWOOD PARK AB|LS06 ROAD CRUSH
SADDLE BRONC|1424| 4. LANE CODY (PERF # 2)|LLOYDMINSTER, SK|LS924 WIFE BEATER
SADDLE BRONC|R330789| 5. MELBY COLTON (PERF # 2)|CPRA|LS859 EVACUATION
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7370C| 1. COLLINS COHEN (PERF # 1)|REGINA, SK|L207 HAYWIRE
BAREBACK|6291C| 2. COLLINS LANE (PERF # 1)|ARDEN, MB    |L103 LITTLE LU
BAREBACK|7525| 3. WILLIAMS BRETT (PERF # 1)|STAVELY, AB|L1 AIR MILES
BAREBACK|6535C| 4. MOEN BUCK (PERF # 1)|ELROSE, SK|L370 BAGGAGE CLAIM
BAREBACK|C2254C| 5. KLEIN JOHNATHAN (PERF # 1)|CRA|L425 UNLIMITED
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|6811| 1. SHOLD ANDY (PERF # 2)|RED DEER COUNTY, AB|L6 TRUE BLUE
BAREBACK|7117C| 2. VANDENAMEELE DANNY (PERF # 2)|LANGENBURG SK|L370 BAGGAGE CLAIM
BAREBACK|C2910C| 3. DOUGLAS MIKE (PERF # 2)|CRA|L202 BABY DADDY
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7512| 1. KNIGHT MICHAEL (PERF # 1)|REGINA, SK|LTZ45 FEJITA
BULL RIDING|7526| 2. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|LT962 REGISTRY
BULL RIDING|7382C| 3. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|D111 KICK START MY HEART
BULL RIDING|6823C| 4. ARBUTHNOTT JORDAN (PERF # 1)|HAYTER AB|LT834 TROUBLE MAKER
BULL RIDING|7524| 5. HUNT RON (PERF # 1)|NANTON, AB|LTK1 ASH
BULL RIDING|7444C| 6. MOEN JB (PERF # 1)|ELROSE, SK|LT62 FUNNY BUSINESS
BULL RIDING|C7314C| 7. KUBIK ZANE (PERF # 1)|CRA|LT215 BROKEN TOE
BULL RIDING|C2251C| 8. BIGCHILD CYLAS (PERF # 1)|CRA|LT219 PUZZLES
BULL RIDING|C2903C| 9. TATTRIE BRODY (PERF # 1)|CRA|LT356 SCOTTY TOO HOTTY
BULL RIDING|1635C| 10. SCHUETT COLTON (PERF # 1)|RAINIER, AB|LT216 STRIKE ZONE
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7510| 1. WARD TYRELL (PERF # 2)|THREE HILLS, AB|LT07 LET EM ROLL
BULL RIDING|J7069C| 2. TETZ NICHOLAS (PERF # 2)|CALGARY, AB|LTZ33 HAUNTED
BULL RIDING|C7147C| 3. WATSON HARRY (PERF # 2)|CRA|LT213 SKID MARK
BULL RIDING|C1258C| 4. CHARTERIS COLBY (PERF # 2)|CRA|LTA1 DILLY
BULL RIDING|C7223| 5. HUDSON JEFF (PERF # 2)|CRA|LT219 PUZZLES
BULL RIDING|C7001C| 6. OSTBY COLE (PERF # 2)|CRA|LT2C2 COLOUR ME BAD
BULL RIDING|C2276C| 7. THOMSON K'S (PERF # 2)|CRA |LT62 FUNNY BUSINESS
BULL RIDING|LOC6568| 8. JOHNSTON DAYTON (PERF # 2)|MILK RIVER|LT111 ENVY
BULL RIDING|C2905C| 9. PHILLIPS LONNIE (PERF # 2)|CRA|LT062 OPPORTUNITY KNOCKS
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|C7132C| 1. WILLIAMSON BLAKE (PERF # 1)|CRA|
TIE DOWN ROPING|6661C| 2. FINNERTY DANNY (PERF # 1)|DUCHESS, AB|
TIE DOWN ROPING|C266C| 3. PEROZAK GUY (PERF # 1)|CRA|
TIE DOWN ROPING|6555| 4. PEROZAK MACE (PERF # 1)|CLARESHOLM, AB|
TIE DOWN ROPING|J7522| 5. SQUIRES AUSTIN (PERF # 1)|IRMA, AB|
TIE DOWN ROPING|6259C| 6. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|
TIE DOWN ROPING|7514| 7. DYCK STRAN (PERF # 1)|MEDICINE HAT, AB|
TIE DOWN ROPING|7462| 8. HOFER CHASE (PERF # 1)|MAGRATH, AB|
TIE DOWN ROPING|7417| 9. WILEY BILLY (PERF # 1)|MANOR, SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|R330289| 1. TRAVAGLIA NICK (PERF # 2)|CPRA|
TIE DOWN ROPING|C2504C| 2. ALVES ALEX (PERF # 2)|CRA|
TIE DOWN ROPING|C2448C| 3. HEGGIE JUSTIN (PERF # 2)|CARDSTON AB|
TIE DOWN ROPING|C2332C| 4. HEGGIE JEFF (PERF # 2)|CARDSTON AB|
TIE DOWN ROPING|C3583C| 5. KATHREIN LYLE (PERF # 2)|CRA|
TIE DOWN ROPING|C6915C| 6. HUGHSON CLARK (PERF # 2)|CRA|
TIE DOWN ROPING|C2511C| 7. CREASY KELLY (PERF # 2)|MEDICINE HAT, AB|
TIE DOWN ROPING|7280C| 8. WRIGHT TYSON (PERF # 2)|LETHBRIDGE, AB|
TIE DOWN ROPING|5866C| 9. MOEBIS TREVOR (PERF # 2)|SEVEN PERSONS, AB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|C2016C| 1. SLOT KEVIN (PERF # 3)|COU|
TIE DOWN ROPING|7362C| 2. LYNCH CRAIG (PERF # 3)|BOTHA, AB|
TIE DOWN ROPING|6539C| 3. NEITZ MARK (PERF # 3)|STETTLER, AB|
TIE DOWN ROPING|7472| 4. JOHNSON DAWSON (PERF # 3)|STRATHMORE, AB|
TIE DOWN ROPING|6815C| 5. DAVIDSON JB (PERF # 3)|RIMBEY, AB|
TIE DOWN ROPING|7438| 6. GULICK CHAD (PERF # 3)|WETASKIWIN, AB|
TIE DOWN ROPING|7049C| 7. MARCENKO GEORGE (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|5311C| 8. WILLIAMSON SHAWN (PERF # 3)|MANKOTA, SK |
TIE DOWN ROPING|5020C| 9. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|5942C| 10. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
TIE DOWN ROPING|6857C| 11. MCLEOD TYCE (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|6510C| 12. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|7430C| 13. ANDERSON MACLIN (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|6293C| 14. WALBURGER ROSS (PERF # 3)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|5298C| 15. FOLK KEITH (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|R323978| 16. FINNERTY JESSE (PERF # 3)|CPRA|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|C8054| 1. SAGRAFENA NEIL (PERF # 1)|CRA|
