OFFICIAL DRAW FOR RADVILLE, SK
Performance: 1. Saturday 18 @ 
Performance: 2. Sunday 19 @ 
Performance: 3. Sunday 19 @ 
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|6814C| 1. WINTERS TYLER (PERF # 1)|OAK LAKE, MB|PS904 FRICTION
SADDLE BRONC|6649C| 2. BOURQUE CHASE (PERF # 1)|PELLY, SK|PS816 HARD TIMES
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7420| 1. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|PS826 WHISPER
SADDLE BRONC|6870C| 2. FOUHSE TYREL (PERF # 2)|WHITE CITY, SK|PS633 TSN
SADDLE BRONC|5283C| 3. FITZPATRICK RHETT (PERF # 2)|WOOD MOUNTAIN, SK|PS704 BOTTOM LINE
SADDLE BRONC|7382C| 4. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|PS215 ROLL CALL
SADDLE BRONC|7086C| 5. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|PS012 BIG SKY
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7508| 1. MAY PARRISH (PERF # 1)|KENNEDY,SK|PX10 CITY BELL
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|1632C| 1. PETERSON CALDER (PERF # 2)|GLENTWORTH, SK|PX07 WIDE CORNER
BAREBACK|6964C| 2. GRAVELLE PATRICK (PERF # 2)|BENGOUGH, SK|PV6 CITY LIGHTS
BAREBACK|7370C| 3. COLLINS COHEN (PERF # 2)|REGINA, SK|PC49 UNDECIDED
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|5140C| 1. KOOPMAN JJ (PERF # 1)|JANSEN, SK|PRR13 BAR NONE
BULL RIDING|1675C| 2. EBERLE KYLE (PERF # 1)|PILOT BUTTE, SK|PR113 TOP FLIGHT
BULL RIDING|6395| 3. MADDISON STEVE (PERF # 1)|CARMAN, MB|PR71 WEST WIND
BULL RIDING|7411C| 4. DUNCAN REED (PERF # 1)|MORTLACH, SK|PR110 PATTYS PICK
BULL RIDING|6008C| 5. CURLEY JC (PERF # 1)|NORTH BATTLEFORD SK|PR818 CAPTAIN
BULL RIDING|7388C| 6. KNOX TYLER (PERF # 1)|PONTEIX, SK|PRS70 DREAM ON
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|1559C| 1. LEIPPI MATTHEW (PERF # 2)|KRONAU, SK|PR176 BLUE JAY      
BULL RIDING|6504C| 2. SPEIR LEVI (PERF # 2)|HERBERT, SK|PR222 DJANGO     
BULL RIDING|M2682C| 3. GILCHUK DENNIS (PERF # 2)|MRCA|PR1W HELPING OUT
BULL RIDING|M2606C| 4. TOMOLAK MATTHEW (PERF # 2)|ESTERHAZY, SK|PR841 FAKING IT
BULL RIDING|7521| 5. BUECKERT DALE (PERF # 2)|AUSTIN, MB|PR174 SHADOW
BULL RIDING|7446| 6. PITURA MARTY (PERF # 2)|STE ANNE, MB|PR077 COWTOWN'S PRAIRIE BEAR
BULL RIDING|M2824| 7. DONALD DEVON (PERF # 2)|ROSSENDALE, MB|PR074 BUGSY
BULL RIDING|7512| 8. KNIGHT MICHAEL (PERF # 2)|REGINA, SK|PR912 WHITE WALLS
BULL RIDING|7526| 9. SLADE LACHLAN (PERF # 2)|SONNINGDALE SK|PR115 BOOBY TRAP
BULL RIDING|7382C| 10. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|PR71 WEST WIND
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|M1492| 1. RUSK RYAN (PERF # 1)|MRCA|
TIE DOWN ROPING|3948C| 2. BEVAN CAREY (PERF # 1)|CARIEVALE SK|
TIE DOWN ROPING|6635C| 3. MASTAD CLAY (PERF # 1)|PLEASANTDALE, SK |
TIE DOWN ROPING|5483C| 4. PORTER DEVON (PERF # 1)|SOLSGIRTH, MB|
TIE DOWN ROPING|5019C| 5. GETZ CODY (PERF # 1)|BALGONIE, SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|7430C| 1. ANDERSON MACLIN (PERF # 2)|ROCKGLEN, SK|
TIE DOWN ROPING|6293C| 2. WALBURGER ROSS (PERF # 2)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|5373C| 3. RADKE CLINT (PERF # 2)|MARYFIELD, SK|
TIE DOWN ROPING|7417| 4. WILEY BILLY (PERF # 2)|MANOR, SK|
TIE DOWN ROPING|3955C| 5. DUNHAM BRUCE (PERF # 2)|INDIAN HEAD, SK|
TIE DOWN ROPING|5643C| 6. SWITZER MATT (PERF # 2)|YORKTON, SK      |
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|3996C| 1. ROOD CODY (PERF # 3)|BENGOUGH SK|
TIE DOWN ROPING|5311C| 2. WILLIAMSON SHAWN (PERF # 3)|MANKOTA, SK |
TIE DOWN ROPING|5942C| 3. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
TIE DOWN ROPING|2007C| 4. SWITZER BLAINE (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|5020C| 5. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|6510C| 6. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|6857C| 7. MCLEOD TYCE (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|5298C| 8. FOLK KEITH (PERF # 3)|SWIFT CURRENT SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|R1332| 1. THUE FRED (PERF # 1)|CSPRA|
STEER WRESTLING|2408C| 2. PETERSEN WES (PERF # 1)|MOOSE JAW SK|
STEER WRESTLING|7380C| 3. SIEBOLD ADAM (PERF # 1)|KELVINGTON, SK|
STEER WRESTLING|6098C| 4. TOBER DANIEL (PERF # 1)|OXBOW SK|
STEER WRESTLING|1705C| 5. MARCENKO ZANE (PERF # 1)|ROCKGLEN, SK|
STEER WRESTLING|5483C| 6. PORTER DEVON (PERF # 1)|SOLSGIRTH, MB|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|R11366| 1. GUZE JOSEPH (PERF # 2)|CPRA|
STEER WRESTLING|R11593| 2. HAYES RILEY (PERF # 2)|CPRA|
STEER WRESTLING|J7387C| 3. FROSHAUG TANNER (PERF # 2)|MINTON, SK|
STEER WRESTLING|7086C| 4. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|
STEER WRESTLING|7264C| 5. PETTYJOHN TY (PERF # 2)|GARLAND, MB|
STEER WRESTLING|6347C| 6. SCHROEDER LEIGHTON (PERF # 2)|SOURIS, MB|
STEER WRESTLING|7169C| 7. BRIGDEN AVERY (PERF # 2)|SOURIS, MB|
STEER WRESTLING|5423C| 8. MORRIS REGAN (PERF # 2)|REGINA, SK   |
STEER WRESTLING|5006C| 9. MORRIS IAN (PERF # 2)|FORT QU'APPELLE SK|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|6559C| 1. HARRIS SCOTT (PERF # 3)|STONEWALL, MB|
STEER WRESTLING|1561C| 2. LOEPPKY TJ (PERF # 3)|CENTRAL BUTTE, SK|
STEER WRESTLING|7419| 3. WHEELER GEORGE (PERF # 3)|DAVIDSON SK|
STEER WRESTLING|6645C| 4. KLOVANSKY KAL (PERF # 3)|QU'APPELLE, SK|
STEER WRESTLING|5942C| 5. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
STEER WRESTLING|5957C| 6. HANTELMAN CHAD (PERF # 3)|KYLE, SK|
STEER WRESTLING|7383C| 7. KELLY CLINT (PERF # 3)|BRANDON, MB|
STEER WRESTLING|6510C| 8. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
STEER WRESTLING|7253C| 9. MCLEOD TEE (PERF # 3)|WALDECK, SK|
STEER WRESTLING|R10751C| 10. KNITTIG LORNE (PERF # 3)|CPRA|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L5293C| 1. DENBROK TRACI  (PERF # 1)|ESTERHAZY, SK|TIMER DUTIES
