OFFICIAL DRAW FOR ARROWWOOD, AB
Performance: 1. Saturday 25 @ 7:00PM
Performance: 2. Sunday 26 @ 2:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|LS924 WIFE BEATER
SADDLE BRONC|6259C| 2. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|LS7 JOKERS WILD
SADDLE BRONC|6572C| 3. GORDON MIKE (PERF # 1)|MAPLE CREEK, SK|LS721 BROKEN PROMISE
SADDLE BRONC|6696C| 4. THURSTON WYATT (PERF # 1)|BIG VALLEY, AB|LS06 ROAD CRUSH
SADDLE BRONC|7336C| 5. ASHBACHER KOLE (PERF # 1)|ARROWWOOD, AB|LS859 EVACUATION
SADDLE BRONC|7482| 6. WANCHUK KOLBY (PERF # 1)|SHERWOOD PARK AB|LS07 HORSE WITH NO NAME
SADDLE BRONC|7320C| 7. KNIGHT TOM (PERF # 1)|REGINA, SK|LS13 X FACTOR
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6169C| 1. WILSON TYLER (PERF # 2)|MEADOW LAKE SK|LS459 BOMB SCARE
SADDLE BRONC|7428| 2. ZWEIFEL CHASE (PERF # 2)|PARADISE HILL, SK|LS03 CASH N CARRY
SADDLE BRONC|7420| 3. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|LS700 CINDY
SADDLE BRONC|6168| 4. GILCHRIST ADAM (PERF # 2)|MAPLE CREEK SK|LS30 BLUE
SADDLE BRONC|C7153| 5. BOHMER CHANCE (PERF # 2)|CRA|LS102 MAINLINE
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|6291C| 1. COLLINS LANE (PERF # 1)|ARDEN, MB    |L103 LITTLE LU
BAREBACK|6658C| 2. HOFER JASON (PERF # 1)|MAPLE CREEK, SK|L202 BABY DADDY
BAREBACK|5131C| 3. KOOPMAN MONTY (PERF # 1)|CONSUL, SK|L5 BUCK
BAREBACK|5976C| 4. BERTRAM BRADY (PERF # 1)|MAPLE CREEK,SK |L370 BAGGAGE CLAIM
BAREBACK|7525| 5. WILLIAMS BRETT (PERF # 1)|STAVELY, AB|L1 AIR MILES
BAREBACK|6811| 6. SHOLD ANDY (PERF # 1)|RED DEER COUNTY, AB|L6 TRUE BLUE
BAREBACK|C2254C| 7. KLEIN JOHNATHAN (PERF # 1)|CRA|L903 CLASSIFIED
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7457| 1. OUELLETTE COLTON (PERF # 2)|MEADOW LAKE, SK|L425 UNLIMITED
BAREBACK|6535C| 2. MOEN BUCK (PERF # 2)|ELROSE, SK|L207 HAYWIRE
BAREBACK|7117C| 3. VANDENAMEELE DANNY (PERF # 2)|LANGENBURG SK|L903 CLASSIFIED
BAREBACK|P7324C| 4. PLAISIER BAILEY (PERF # 2)|OAK LAKE, MB|L905 PICTURE PERFECT
BAREBACK|C2910C| 5. DOUGLAS MIKE (PERF # 2)|CRA|L6 TRUE BLUE
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7512| 1. KNIGHT MICHAEL (PERF # 1)|REGINA, SK|LTA1 DILLY
BULL RIDING|7382C| 2. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|LT215 BROKEN TOE
BULL RIDING|7526| 3. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|LT317 PATENT PENDING
BULL RIDING|1559C| 4. LEIPPI MATTHEW (PERF # 1)|KRONAU, SK|LT216 STRIKE ZONE
BULL RIDING|7446| 5. PITURA MARTY (PERF # 1)|STE ANNE, MB|LT062 OPPORTUNITY KNOCKS
BULL RIDING|7524| 6. HUNT RON (PERF # 1)|NANTON, AB|LT834 TROUBLE MAKER
BULL RIDING|C5570C| 7. SODERBURG CHASE JAY (PERF # 1)|CRA|LT111 ENVY
BULL RIDING|C2661C| 8. COBB WYATT (PERF # 1)|CRA|LT62 FUNNY BUSINESS
BULL RIDING|C2274C| 9. SALMON REED (PERF # 1)|CRA|LT2C2 COLOUR ME BAD
BULL RIDING|C2935C| 10. MEYN AARON (PERF # 1)|CRA|LT213 SKID MARK
BULL RIDING|C166C| 11. GLENN DUSTY (PERF # 1)|RIMBEY, AB|LT356 SCOTTY TOO HOTTY
BULL RIDING|7456| 12. WATIER AUSTEN (PERF # 1)|KYLE, SK|LT07 LET EM ROLL
BULL RIDING|C7314C| 13. KUBIK ZANE (PERF # 1)|CRA|LTK1 ASH
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7031C| 1. SYMINGTON BRIAN (PERF # 2)|ASQUITH, SK |LT902 BLACK CROOK
BULL RIDING|J7069C| 2. TETZ NICHOLAS (PERF # 2)|CALGARY, AB|LT62 FUNNY BUSINESS
BULL RIDING|7444C| 3. MOEN JB (PERF # 2)|ELROSE, SK|LTD111 KICKSTART MY HEART
BULL RIDING|6823C| 4. ARBUTHNOTT JORDAN (PERF # 2)|HAYTER AB|LTZ31 DODGE N HELL
BULL RIDING|1561C| 5. LOEPPKY TJ (PERF # 2)|CENTRAL BUTTE, SK|LT062 OPPORTUNITY KNOCKS
BULL RIDING|1635C| 6. SCHUETT COLTON (PERF # 2)|RAINIER, AB|LT962 REGISTRY
BULL RIDING|C7223| 7. HUDSON JEFF (PERF # 2)|CRA|LT07 LET EM ROLL
BULL RIDING|C7001C| 8. OSTBY COLE (PERF # 2)|CRA|LTZ34 SUNS OUT GUNS OUT
BULL RIDING|C2288C| 9. MCCARTY AARON (PERF # 2)|KYLE, SK|LT382 SNORTING RAILS
BULL RIDING|C7147C| 10. WATSON HARRY (PERF # 2)|CRA|LT219 PUZZLES
BULL RIDING|C2905C| 11. PHILLIPS LONNIE (PERF # 2)|CRA|LT111 ENVY
BULL RIDING|C2251C| 12. BIGCHILD CYLAS (PERF # 2)|CRA|LT391 LOADED DIAPER
BULL RIDING|7510| 13. WARD TYRELL (PERF # 2)|THREE HILLS, AB|LT216 STRIKE ZONE
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6539C| 1. NEITZ MARK (PERF # 1)|STETTLER, AB|
TIE DOWN ROPING|6259C| 2. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|
TIE DOWN ROPING|R1592C| 3. MCCOMISH CONNOR (PERF # 1)|FCA|
TIE DOWN ROPING|C6370C| 4. HATCH JUSTIN (PERF # 1)|CRA|
TIE DOWN ROPING|7438| 5. GULICK CHAD (PERF # 1)|WETASKIWIN, AB|
TIE DOWN ROPING|7472| 6. JOHNSON DAWSON (PERF # 1)|STRATHMORE, AB|
TIE DOWN ROPING|7443| 7. VANSTRATEN QUINTON (PERF # 1)|STETTLER, AB|
TIE DOWN ROPING|C2519| 8. CRUIKSHANK GREG (PERF # 1)|CRA|
TIE DOWN ROPING|6815C| 9. DAVIDSON JB (PERF # 1)|RIMBEY, AB|
TIE DOWN ROPING|7280C| 10. WRIGHT TYSON (PERF # 1)|LETHBRIDGE, AB|
TIE DOWN ROPING|6555| 11. PEROZAK MACE (PERF # 1)|CLARESHOLM, AB|
TIE DOWN ROPING|J7522| 12. SQUIRES AUSTIN (PERF # 1)|IRMA, AB|
TIE DOWN ROPING|LOC6573| 13. CORONET COLT (PERF # 1)|ARR|
TIE DOWN ROPING|LOC6572| 14. CORONET STACEY (PERF # 1)|ARR|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|C2504C| 1. ALVES ALEX (PERF # 2)|CRA|
TIE DOWN ROPING|7514| 2. DYCK STRAN (PERF # 2)|MEDICINE HAT, AB|
TIE DOWN ROPING|6510C| 3. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|C1842C| 4. GERVAIS DUANE (PERF # 2)|CRA|
TIE DOWN ROPING|C7132C| 5. WILLIAMSON BLAKE (PERF # 2)|CRA|
TIE DOWN ROPING|6661C| 6. FINNERTY DANNY (PERF # 2)|DUCHESS, AB|
TIE DOWN ROPING|6293C| 7. WALBURGER ROSS (PERF # 2)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|R325611| 8. BUEHLER JEREMY (PERF # 2)|CPRA|
TIE DOWN ROPING|5085C| 9. FOLK KEVIN (PERF # 2)|SWIFT CURRENT SK|
