OFFICIAL DRAW FOR SWIFT CURRENT, SK
Performance: 1. Thursday 30 @ 7:00PM
Performance: 2. Friday 1 @ 2:00PM
Performance: 3. Saturday 2 @ 2:00PM
Performance: 4. Friday 1 @ 11:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|5283C| 1. FITZPATRICK RHETT (PERF # 1)|WOOD MOUNTAIN, SK|PS109 BIG AND RICH
SADDLE BRONC|6870C| 2. FOUHSE TYREL (PERF # 1)|WHITE CITY, SK|PS826 WHISPER
SADDLE BRONC|R328673| 3. THOMSON CHAD (PERF # 1)|CPRA|PS705 HILL TOP
SADDLE BRONC|R8769C| 4. VERNON CASEY (PERF # 1)|FCA|PS899 ZIFF
SADDLE BRONC|R6789C| 5. VERNON JAKE (PERF # 1)|FCA|PSX27 DUSTY TRAIL
SADDLE BRONC|R322668| 6. BERTRAM CASEY (PERF # 1)|CPRA|PSC1 LAW & ORDER
SADDLE BRONC|6295C| 7. KORNFELD KLINTON (PERF # 1)|VAL MARIE, SK|PS104 BOOT BARN
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7336C| 1. ASHBACHER KOLE (PERF # 2)|ARROWWOOD, AB|PSBR70 STARS AND STRIPES
SADDLE BRONC|7482| 2. WANCHUK KOLBY (PERF # 2)|SHERWOOD PARK AB|PSM71 MACKIES CARBON COPY
SADDLE BRONC|7320C| 3. KNIGHT TOM (PERF # 2)|REGINA, SK|PSBR481 THE JUICE
SADDLE BRONC|6169C| 4. WILSON TYLER (PERF # 2)|MEADOW LAKE SK|PSBR603 ANVIL HEAD
SADDLE BRONC|7428| 5. ZWEIFEL CHASE (PERF # 2)|PARADISE HILL, SK|PSW13 CITY WIDE
SADDLE BRONC|6572C| 6. GORDON MIKE (PERF # 2)|MAPLE CREEK, SK|PSX44 DUSTY DAY  
SADDLE BRONC|7382C| 7. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|PS012 BIG SKY
SADDLE BRONC|6168| 8. GILCHRIST ADAM (PERF # 2)|MAPLE CREEK SK|PS817 COPPER SANDS
SADDLE BRONC|C7063C| 9. ULRICH TYSON (PERF # 2)|CLIMAX, SK|PS003 WIGGLES
SADDLE BRONC||PERFORMANCE: 3||
SADDLE BRONC|| ||
SADDLE BRONC|6814C| 1. WINTERS TYLER (PERF # 3)|OAK LAKE, MB|PS60 AIMES NO CHANGE
SADDLE BRONC|6392C| 2. THOMPSON KIRK (PERF # 3)|OAK LAKE, MB|PS205 CERVAS RECHARGE 
SADDLE BRONC|6649C| 3. BOURQUE CHASE (PERF # 3)|PELLY, SK|PS204 JAIL BREAK
SADDLE BRONC|6696C| 4. THURSTON WYATT (PERF # 3)|BIG VALLEY, AB|PSB8 LITTLE MUFFIN
SADDLE BRONC|6259C| 5. HOUSTON RICHARD (PERF # 3)|WAINWRIGHT, AB|PSBR8 TWISTER
SADDLE BRONC|7420| 6. COSTELLO TIMOTHY (PERF # 3)|BYEMOOR, AB|PSBR4 FORGET ME NOT
SADDLE BRONC|1424| 7. LANE CODY (PERF # 3)|LLOYDMINSTER, SK|PSBRJ11 AMERICAN LEGEND_
SADDLE BRONC|C7153| 8. BOHMER CHANCE (PERF # 3)|CRA|PS752 TAKEN CHANCES
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|6964C| 1. GRAVELLE PATRICK (PERF # 1)|BENGOUGH, SK|P551 NEWTOWN
BAREBACK|7525| 2. WILLIAMS BRETT (PERF # 1)|STAVELY, AB|PX07 WIDE CORNER
BAREBACK|7508| 3. MAY PARRISH (PERF # 1)|KENNEDY,SK|PV6 CITY LIGHTS
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7457| 1. OUELLETTE COLTON (PERF # 2)|MEADOW LAKE, SK|P632 UNDER COVER
BAREBACK|5976C| 2. BERTRAM BRADY (PERF # 2)|MAPLE CREEK,SK |PBR42 42 BELOW
BAREBACK|5131C| 3. KOOPMAN MONTY (PERF # 2)|CONSUL, SK|PW7 VALLEY CITY
BAREBACK|6658C| 4. HOFER JASON (PERF # 2)|MAPLE CREEK, SK|PL046 ROMAN RULER
BAREBACK|7541| 5. TURNER MAT (PERF # 2)|REGINA, SK|P215 ROLL CALL
BAREBACK||PERFORMANCE: 3||
BAREBACK|| ||
BAREBACK|6535C| 1. MOEN BUCK (PERF # 3)|ELROSE, SK|PY61 CITY STARS
BAREBACK|7117C| 2. VANDENAMEELE DANNY (PERF # 3)|LANGENBURG SK|P49 SIDE BY SIDE
BAREBACK|P7324C| 3. PLAISIER BAILEY (PERF # 3)|OAK LAKE, MB|P818 KT'S NOTEBOOK
BAREBACK|6811| 4. SHOLD ANDY (PERF # 3)|RED DEER COUNTY, AB|PC19 FREE SHIPPING
BAREBACK|1632C| 5. PETERSON CALDER (PERF # 3)|GLENTWORTH, SK|PBR87 SAND SPIKE
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|6504C| 1. SPEIR LEVI (PERF # 1)|HERBERT, SK|PRR13 BAR NONE
BULL RIDING|BF6469| 2. DELARUE RONNY (PERF # 1)|WHITEWOOD, SK|PR818 CAPTAIN
BULL RIDING|4013| 3. ZUNTI BRENT (PERF # 1)|UNITY, SK|PRS70 DREAM ON
BULL RIDING|CP7132| 4. LAPLANTE LANE (PERF # 1)|NORTH BATTLEFORD, SK|PRA20 PIMPIN
BULL RIDING|7524| 5. HUNT RON (PERF # 1)|NANTON, AB|PR174 SHADOW
BULL RIDING|C2288C| 6. MCCARTY AARON (PERF # 1)|KYLE, SK|PR37 BLAZE
BULL RIDING|C7314C| 7. KUBIK ZANE (PERF # 1)|CRA|PR912 WHITE WALLS
BULL RIDING|1635C| 8. SCHUETT COLTON (PERF # 1)|RAINIER, AB|PR077 COWTOWN'S PRAIRIE BEAR
BULL RIDING|C7223| 9. HUDSON JEFF (PERF # 1)|CRA|PR302 WOLF SMOKE
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7031C| 1. SYMINGTON BRIAN (PERF # 2)|ASQUITH, SK |PR43 REAL DEAL
BULL RIDING|1675C| 2. EBERLE KYLE (PERF # 2)|PILOT BUTTE, SK|PR115 BOOBY TRAP
BULL RIDING|7060C| 3. DOWNS COLEMAN (PERF # 2)|BALGONIE, SK|PR310 ITS TIME
BULL RIDING|1559C| 4. LEIPPI MATTHEW (PERF # 2)|KRONAU, SK|PR71 WEST WIND
BULL RIDING|6008C| 5. CURLEY JC (PERF # 2)|NORTH BATTLEFORD SK|PR110 PATTYS PICK
BULL RIDING|7526| 6. SLADE LACHLAN (PERF # 2)|SONNINGDALE SK|PRA84 BOOSTER JUICE
BULL RIDING|7512| 7. KNIGHT MICHAEL (PERF # 2)|REGINA, SK|PR113 TOP FLIGHT
BULL RIDING|7382C| 8. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|PR5 2 S AUCTIONS    
BULL RIDING|7456| 9. WATIER AUSTEN (PERF # 2)|KYLE, SK|PR376 STREET LEGAL
BULL RIDING|C7001C| 10. OSTBY COLE (PERF # 2)|CRA|PR222 DJANGO     
BULL RIDING|7541| 11. TURNER MAT (PERF # 2)|REGINA, SK|PR077 COWTOWN'S PRAIRIE BEAR
BULL RIDING||PERFORMANCE: 3||
BULL RIDING|| ||
BULL RIDING|7444C| 1. MOEN JB (PERF # 3)|ELROSE, SK|PR1W HELPING OUT
BULL RIDING|6395| 2. MADDISON STEVE (PERF # 3)|CARMAN, MB|PR636 UNI SELECT
BULL RIDING|7521| 3. BUECKERT DALE (PERF # 3)|AUSTIN, MB|PR46 HODGE
BULL RIDING|7484C| 4. POOYAK STEWART (PERF # 3)|GALLIVAN, SK|PR713 SHOWCASE
BULL RIDING|7510| 5. WARD TYRELL (PERF # 3)|THREE HILLS, AB|PRW07 MIDNITE TOKEN
BULL RIDING|1561C| 6. LOEPPKY TJ (PERF # 3)|CENTRAL BUTTE, SK|PR3 NITRO
BULL RIDING|1424| 7. LANE CODY (PERF # 3)|LLOYDMINSTER, SK|PR75 BARELY LEGAL
BULL RIDING|7388C| 8. KNOX TYLER (PERF # 3)|PONTEIX, SK|PR074 BUGSY
BULL RIDING|7276C| 9. BEDFORD CALEB (PERF # 3)|MACNUTT, SK|PR31 LEGEND
