OFFICIAL DRAW FOR MOOSOMIN
Performance: 1. Friday 8 @ 6:30PM
Performance: 2. Saturday 9 @ 6:30PM
Performance: 3. Saturday 9 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7542| 1. BOHMER CHANCE (PERF # 1)|HILLCREST, AB|PS306 SNEAKY FEELING
SADDLE BRONC|7382C| 2. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|PS200 TEMPTED
SADDLE BRONC|6814C| 3. WINTERS TYLER (PERF # 1)|OAK LAKE, MB|PS207 HEAD OVER BOOTS
SADDLE BRONC|6392C| 4. THOMPSON KIRK (PERF # 1)|OAK LAKE, MB|PS333 RATHER SPECIAL      
SADDLE BRONC|6649C| 5. BOURQUE CHASE (PERF # 1)|PELLY, SK|PS131 CHASE THE ACE
SADDLE BRONC|5178| 6. SCHELLENBERG BERNIE (PERF # 1)|MELFORT, SK|PS072 HIGH SOCIETY
SADDLE BRONC|7086C| 7. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|PS101 BALLROOM BLITZ
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6696C| 1. THURSTON WYATT (PERF # 2)|BIG VALLEY, AB|PS07 NO REGRETS
SADDLE BRONC|6259C| 2. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|PS939 JAMBALYA
SADDLE BRONC|M2828| 3. COTE WACEY (PERF # 2)|MRCA|PS867 ANOTHER BROTHER
SADDLE BRONC|5283C| 4. FITZPATRICK RHETT (PERF # 2)|WOOD MOUNTAIN, SK|PS901 UGLY TRUTH
SADDLE BRONC|6870C| 5. FOUHSE TYREL (PERF # 2)|WHITE CITY, SK|PS005 WHEEL HOUSE
SADDLE BRONC|M2791C| 6. DINWOODIE BRODIE (PERF # 2)|MRCA|PS820 BONAFIDE 
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7541| 1. TURNER MAT (PERF # 1)|REGINA, SK|P168 FIGHTING CHANCE
BAREBACK|5976C| 2. BERTRAM BRADY (PERF # 1)|MAPLE CREEK,SK |P038 SAY WHEN        
BAREBACK|7400C| 3. HELMECZI MASON (PERF # 1)|ESTERHAZY SK|P206 YESTERDAYS WINE
BAREBACK|7508| 4. MAY PARRISH (PERF # 1)|KENNEDY,SK|P073 ANYTHING GOES
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|6535C| 1. MOEN BUCK (PERF # 2)|ELROSE, SK|P834 EMOTIONAL GIRL
BAREBACK|6811| 2. SHOLD ANDY (PERF # 2)|RED DEER COUNTY, AB|P934 COWBOY UP
BAREBACK|6658C| 3. HOFER JASON (PERF # 2)|MAPLE CREEK, SK|P330 WINGATE
BAREBACK|5131C| 4. KOOPMAN MONTY (PERF # 2)|CONSUL, SK|P242 WIGGLE ROOM
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|1635C| 1. SCHUETT COLTON (PERF # 1)|RAINIER, AB|PT234 TURPIES OLD RED
BULL RIDING|M2606C| 2. TOMOLAK MATTHEW (PERF # 1)|ESTERHAZY, SK|PT28 3M BEEF SUPPLY
BULL RIDING|7276C| 3. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|PT11 SEA MINERALS
BULL RIDING|4013| 4. ZUNTI BRENT (PERF # 1)|UNITY, SK|PT124 RED LINE
BULL RIDING|CP7132| 5. LAPLANTE LANE (PERF # 1)|NORTH BATTLEFORD, SK|PT295 3M BLACK ATTACK
BULL RIDING|6505C| 6. ELLIS TY (PERF # 1)|SONNINGDALE, SK|PT15 SMART ATTACK
BULL RIDING|7526| 7. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|PT222 CHRETIAN
BULL RIDING|1559C| 8. LEIPPI MATTHEW (PERF # 1)|KRONAU, SK|PT352 MONKEY SHOT
BULL RIDING|1675C| 9. EBERLE KYLE (PERF # 1)|PILOT BUTTE, SK|PT967 SLOUGH SHARK
BULL RIDING|7382C| 10. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|PT079 FARM BOY REALTY
BULL RIDING|7541| 11. TURNER MAT (PERF # 1)|REGINA, SK|PT071 WHIZ BANG
BULL RIDING|7512| 12. KNIGHT MICHAEL (PERF # 1)|REGINA, SK|PT214 CAVEMAN
BULL RIDING|M2762| 13. FAIRLIE EVERETT (PERF # 1)|MRCA|PT777 WITCHING HOUR 
BULL RIDING|6008C| 14. CURLEY JC (PERF # 1)|NORTH BATTLEFORD SK|PT33 FROST BITE
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|5140C| 1. KOOPMAN JJ (PERF # 2)|JANSEN, SK|PT253 STAY AWAY
BULL RIDING|7444C| 2. MOEN JB (PERF # 2)|ELROSE, SK|PT071 WHIZ BANG
BULL RIDING|7031C| 3. SYMINGTON BRIAN (PERF # 2)|ASQUITH, SK |PT28 3M BEEF SUPPLY
BULL RIDING|6395| 4. MADDISON STEVE (PERF # 2)|CARMAN, MB|PT777 WITCHING HOUR 
BULL RIDING|7446| 5. PITURA MARTY (PERF # 2)|STE ANNE, MB|PT124 RED LINE
BULL RIDING|6570C| 6. BRANDT JEFF (PERF # 2)|AUSTIN, MB|PT11 SEA MINERALS
BULL RIDING|M2730C| 7. KERDA JOSHUA (PERF # 2)|MRCA|PT252 BLUE MONKEY
BULL RIDING|7521| 8. BUECKERT DALE (PERF # 2)|AUSTIN, MB|PT234 TURPIES OLD RED
BULL RIDING|M2824| 9. DONALD DEVON (PERF # 2)|ROSSENDALE, MB|PT079 FARM BOY REALTY
BULL RIDING|M2875| 10. LAVALLEE WYATT (PERF # 2)|MRCA|PT137 GOLDEN GUN
BULL RIDING|7437| 11. MCMAHON KEENAN (PERF # 2)|INWOOD, MB|PT967 SLOUGH SHARK
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5019C| 1. GETZ CODY (PERF # 1)|BALGONIE, SK|
TIE DOWN ROPING|6857C| 2. MCLEOD TYCE (PERF # 1)|WALDECK, SK|
TIE DOWN ROPING|6648C| 3. HAYES WYATT (PERF # 1)|VAL MARIE, SK|
TIE DOWN ROPING|7430C| 4. ANDERSON MACLIN (PERF # 1)|ROCKGLEN, SK|
TIE DOWN ROPING|5942C| 5. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
TIE DOWN ROPING|6635C| 6. MASTAD CLAY (PERF # 1)|PLEASANTDALE, SK |
TIE DOWN ROPING|6510C| 7. MCLEOD TUFTIN (PERF # 1)|WALDECK, SK|
TIE DOWN ROPING|LOC6613| 8. DUNHAM ROGER (PERF # 1)|MOO|
TIE DOWN ROPING|6293C| 9. WALBURGER ROSS (PERF # 1)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|5298C| 10. FOLK KEITH (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|M1492C| 1. RUSK RYAN (PERF # 2)|MRCA|
TIE DOWN ROPING|5311C| 2. WILLIAMSON SHAWN (PERF # 2)|MANKOTA, SK |
TIE DOWN ROPING|M1981C| 3. BRIDGEMAN JUSTIN (PERF # 2)|BINSCARTH, MB|
TIE DOWN ROPING|6259C| 4. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|
TIE DOWN ROPING|3709C| 5. DUNHAM KEVIN (PERF # 2)|SOURIS, MB|
TIE DOWN ROPING|M2721J| 6. SALMON TYSON (PERF # 2)|STONEWALL, MB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6933C| 1. SMITH LAYNE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|3955C| 2. DUNHAM BRUCE (PERF # 3)|INDIAN HEAD, SK|
TIE DOWN ROPING|M1321C| 3. BROWN SHANE (PERF # 3)|VIRDEN MB|
TIE DOWN ROPING|M1320C| 4. BROWN LONNIE (PERF # 3)|VIRDEN, MB|
TIE DOWN ROPING|7532| 5. MITCHELL COLE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|2007C| 6. SWITZER BLAINE (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|3948C| 7. BEVAN CAREY (PERF # 3)|CARIEVALE SK|
TIE DOWN ROPING|6835C| 8. BROWN ORY (PERF # 3)|LENORE, MB|
