OFFICIAL DRAW FOR GILBERT PLAINS, MB
Performance: 1. Saturday 9 @ 7:00PM
Performance: 2. Sunday 10 @ 5:00PM
Performance: 3. Sunday 10 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|M2791C| 1. DINWOODIE BRODIE (PERF # 2)|MRCA|FS38 HIGH ARCTIC
SADDLE BRONC|7086C| 2. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|FS217 MEDICINE COULEE
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7400C| 1. HELMECZI MASON (PERF # 1)|ESTERHAZY SK|F174 SOUTHERN VOICE
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|M2606C| 1. TOMOLAK MATTHEW (PERF # 1)|ESTERHAZY, SK|FR936 PICK POCKET
BULL RIDING|7276C| 2. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|FR108 CARL
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|M2762| 1. FAIRLIE EVERETT (PERF # 2)|MRCA|FR25 TURN IT UP
BULL RIDING|7437| 2. MCMAHON KEENAN (PERF # 2)|INWOOD, MB|FR844 AIR BENDER
BULL RIDING|7521| 3. BUECKERT DALE (PERF # 2)|AUSTIN, MB|FR806 PSYCHO
BULL RIDING|M2824| 4. DONALD DEVON (PERF # 2)|ROSSENDALE, MB|FR011 BOOSTER SEAT
BULL RIDING|M2875| 5. LAVALLEE WYATT (PERF # 2)|MRCA|FR232 ROCKET OUT
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6635C| 1. MASTAD CLAY (PERF # 1)|PLEASANTDALE, SK |
TIE DOWN ROPING|M2349C| 2. GLOVER BRYCE (PERF # 1)|MRCA|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5643C| 1. SWITZER MATT (PERF # 2)|YORKTON, SK      |
TIE DOWN ROPING|3948C| 2. BEVAN CAREY (PERF # 2)|CARIEVALE SK|
TIE DOWN ROPING|6933C| 3. SMITH LAYNE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|7532| 4. MITCHELL COLE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|5483C| 5. PORTER DEVON (PERF # 2)|SOLSGIRTH, MB|
TIE DOWN ROPING|M2721J| 6. SALMON TYSON (PERF # 2)|STONEWALL, MB|
TIE DOWN ROPING|5373C| 7. RADKE CLINT (PERF # 2)|MARYFIELD, SK|
TIE DOWN ROPING|6835C| 8. BROWN ORY (PERF # 2)|LENORE, MB|
TIE DOWN ROPING|3955C| 9. DUNHAM BRUCE (PERF # 2)|INDIAN HEAD, SK|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
