OFFICIAL DRAW FOR KELLIHER
Performance: 1. Saturday 9 @ 5:00PM
Performance: 2. Sunday 10 @ 2:00PM
Performance: 3. Saturday 9 @ 8:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7542| 1. BOHMER CHANCE (PERF # 1)|HILLCREST, AB|WS81 LADY BUG
SADDLE BRONC|7382C| 2. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|WS14 JULY BROWN
SADDLE BRONC|7086C| 3. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|WSX4 BREAK DOWN
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7420| 1. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|WSX4 BREAK DOWN
SADDLE BRONC|5178| 2. SCHELLENBERG BERNIE (PERF # 2)|MELFORT, SK|WS14 JULY BROWN
SADDLE BRONC|M2808J| 3. MACZA LUCAS (PERF # 2)|MRCA|WSJ14 DAYS 'N NIGHTS
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7541| 1. TURNER MAT (PERF # 1)|REGINA, SK|W60 REAY BAY
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7525| 1. WILLIAMS BRETT (PERF # 2)|STAVELY, AB|W-2 UNDER DOG
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|4013| 1. ZUNTI BRENT (PERF # 1)|UNITY, SK|WL014 JEAN JACKET
BULL RIDING|CP7132| 2. LAPLANTE LANE (PERF # 1)|NORTH BATTLEFORD, SK|WLX51 ALCATRAZ
BULL RIDING|1559C| 3. LEIPPI MATTHEW (PERF # 1)|KRONAU, SK|WLZ05 TAP
BULL RIDING|1675C| 4. EBERLE KYLE (PERF # 1)|PILOT BUTTE, SK|WL924 COOL POP
BULL RIDING|7382C| 5. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|WL866 ON THE ROCKS
BULL RIDING|7541| 6. TURNER MAT (PERF # 1)|REGINA, SK|WLX62 CHICKEN BONE
BULL RIDING|7512| 7. KNIGHT MICHAEL (PERF # 1)|REGINA, SK|WL853 ITS TIME
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7524| 1. HUNT RON (PERF # 2)|NANTON, AB|WL924 COOL POP
BULL RIDING|1635C| 2. SCHUETT COLTON (PERF # 2)|RAINIER, AB|WL95 HARLEM NIGHTS
BULL RIDING|5140C| 3. KOOPMAN JJ (PERF # 2)|JANSEN, SK|WL13 JUST A PUFF
BULL RIDING|7031C| 4. SYMINGTON BRIAN (PERF # 2)|ASQUITH, SK |WL+655 DOOR PRIZE
BULL RIDING|6395| 5. MADDISON STEVE (PERF # 2)|CARMAN, MB|WL866 ON THE ROCKS
BULL RIDING|M2606C| 6. TOMOLAK MATTHEW (PERF # 2)|ESTERHAZY, SK|WLX62 CHICKEN BONE
BULL RIDING|7276C| 7. BEDFORD CALEB (PERF # 2)|MACNUTT, SK|WLX51 ALCATRAZ
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|3948C| 1. BEVAN CAREY (PERF # 1)|CARIEVALE SK|
TIE DOWN ROPING|M1321C| 2. BROWN SHANE (PERF # 1)|VIRDEN MB|
TIE DOWN ROPING|6857C| 3. MCLEOD TYCE (PERF # 1)|WALDECK, SK|
TIE DOWN ROPING|6510C| 4. MCLEOD TUFTIN (PERF # 1)|WALDECK, SK|
TIE DOWN ROPING|M1320C| 5. BROWN LONNIE (PERF # 1)|VIRDEN, MB|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|3709C| 1. DUNHAM KEVIN (PERF # 2)|SOURIS, MB|
TIE DOWN ROPING|5019C| 2. GETZ CODY (PERF # 2)|BALGONIE, SK|
TIE DOWN ROPING|5311C| 3. WILLIAMSON SHAWN (PERF # 2)|MANKOTA, SK |
TIE DOWN ROPING|6635C| 4. MASTAD CLAY (PERF # 2)|PLEASANTDALE, SK |
TIE DOWN ROPING|M1981C| 5. BRIDGEMAN JUSTIN (PERF # 2)|BINSCARTH, MB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5942C| 1. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
TIE DOWN ROPING|6835C| 2. BROWN ORY (PERF # 3)|LENORE, MB|
TIE DOWN ROPING|5643C| 3. SWITZER MATT (PERF # 3)|YORKTON, SK      |
TIE DOWN ROPING|7532| 4. MITCHELL COLE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|3955C| 5. DUNHAM BRUCE (PERF # 3)|INDIAN HEAD, SK|
TIE DOWN ROPING|5483C| 6. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
TIE DOWN ROPING|5020C| 7. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|6933C| 8. SMITH LAYNE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|2007C| 9. SWITZER BLAINE (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|5373C| 10. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|R1332| 1. THUE FRED (PERF # 1)|CSPRA|
STEER WRESTLING|M1321C| 2. BROWN SHANE (PERF # 1)|VIRDEN MB|
STEER WRESTLING|7264C| 3. PETTYJOHN TY (PERF # 1)|GARLAND, MB|
STEER WRESTLING|7086C| 4. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|
STEER WRESTLING|7253C| 5. MCLEOD TEE (PERF # 1)|WALDECK, SK|
STEER WRESTLING|6510C| 6. MCLEOD TUFTIN (PERF # 1)|WALDECK, SK|
STEER WRESTLING|6559C| 7. HARRIS SCOTT (PERF # 1)|STONEWALL, MB|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|M2559C| 1. LEE AARON (PERF # 2)|MRCA|
STEER WRESTLING|M1981C| 2. BRIDGEMAN JUSTIN (PERF # 2)|BINSCARTH, MB|
STEER WRESTLING|5423C| 3. MORRIS REGAN (PERF # 2)|REGINA, SK   |
STEER WRESTLING|7248C| 4. HAYES RILEY (PERF # 2)|VAL MARIE, SK|
STEER WRESTLING|M1210C| 5. HAGAN ALISTAIR (PERF # 2)|VIRDEN MB|
STEER WRESTLING|5006C| 6. MORRIS IAN (PERF # 2)|FORT QU'APPELLE SK|
STEER WRESTLING|6278C| 7. SPARROW JARED (PERF # 2)|NORTH BATTLEFORD SK|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|5942C| 1. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
STEER WRESTLING|6347C| 2. SCHROEDER LEIGHTON (PERF # 3)|SOURIS, MB|
STEER WRESTLING|7380C| 3. SIEBOLD ADAM (PERF # 3)|KELVINGTON, SK|
STEER WRESTLING|1705C| 4. MARCENKO ZANE (PERF # 3)|ROCKGLEN, SK|
STEER WRESTLING|7419| 5. WHEELER GEORGE (PERF # 3)|DAVIDSON SK|
STEER WRESTLING|1561C| 6. LOEPPKY TJ (PERF # 3)|CENTRAL BUTTE, SK|
STEER WRESTLING|6645C| 7. KLOVANSKY KAL (PERF # 3)|QU'APPELLE, SK|
STEER WRESTLING|7383C| 8. KELLY CLINT (PERF # 3)|BRANDON, MB|
STEER WRESTLING|7169C| 9. BRIGDEN AVERY (PERF # 3)|SOURIS, MB|
STEER WRESTLING|5483C| 10. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L0571| 1. MCDONALD JAMIE (PERF # 1)|MELVILLE, SK|TIMER DUTIES
LADIES BARREL RACING|L6820C| 2. STOKES LAURA (PERF # 1)|AUSTIN, MB|TIMER DUTIES
LADIES BARREL RACING|L5497C| 3. SWITZER BAILEE (PERF # 1)|ANEROID, SK|
LADIES BARREL RACING|L7509| 4. MILLARD TANA (PERF # 1)|RED DEER COUNTY, AB|
LADIES BARREL RACING|L7322C| 5. GLASRUD HALEY (PERF # 1)|SHAUNAVON, SK|
LADIES BARREL RACING|M2757C| 6. POTVIN JENNA (PERF # 1)|MRCA|
