OFFICIAL DRAW FOR CENTRAL BUTTE, SK
Performance: 1. Friday 22 @ 7:00PM
Performance: 2. Saturday 23 @ 7:00PM
Performance: 3. Saturday 23 @ 10:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7382C| 1. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|BS85 POACHERS MOON
SADDLE BRONC|7542| 2. BOHMER CHANCE (PERF # 1)|HILLCREST, AB|BS67 PARK RANGER
SADDLE BRONC|M2791C| 3. DINWOODIE BRODIE (PERF # 1)|MRCA|BS100 CASEY MAC
SADDLE BRONC|7086C| 4. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|BSJ11 AMERICAN LEGEND
SADDLE BRONC|7420| 5. COSTELLO TIMOTHY (PERF # 1)|BYEMOOR, AB|BS31 WHISKEY GIRL
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|M2828| 1. COTE WACEY (PERF # 2)|MRCA|BS603 ANVIL HEAD
SADDLE BRONC|6870C| 2. FOUHSE TYREL (PERF # 2)|WHITE CITY, SK|BS08 BLACK WATCH
SADDLE BRONC|5283C| 3. FITZPATRICK RHETT (PERF # 2)|WOOD MOUNTAIN, SK|BS06 SIX GUNS
SADDLE BRONC|6259C| 4. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|BS8 TWISTER
SADDLE BRONC|7336C| 5. ASHBACHER KOLE (PERF # 2)|ARROWWOOD, AB|BS60 HIGH NOON
SADDLE BRONC|7482| 6. WANCHUK KOLBY (PERF # 2)|SHERWOOD PARK AB|BS70 STARS AND STRIPES
SADDLE BRONC|R11628| 7. WARREN RICKY (PERF # 2)|CPRA|BS4 FORGET ME NOT
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7370C| 1. COLLINS COHEN (PERF # 1)|REGINA, SK|B89 SCARY MARY
BAREBACK|6535C| 2. MOEN BUCK (PERF # 1)|ELROSE, SK|BW2 CITY STORM
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|1632C| 1. PETERSON CALDER (PERF # 2)|GLENTWORTH, SK|B24 BLAZE
BAREBACK|7508| 2. MAY PARRISH (PERF # 2)|KENNEDY,SK|B41 BIG SHOT
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|1675C| 1. EBERLE KYLE (PERF # 1)|PILOT BUTTE, SK|BRU9 SPINNER
BULL RIDING|7382C| 2. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|BR922 JOE SCHMO
BULL RIDING|7526| 3. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|BR826 JOE DIRT
BULL RIDING|7521| 4. BUECKERT DALE (PERF # 1)|AUSTIN, MB|BR903 SNAKE EYES
BULL RIDING|6395| 5. MADDISON STEVE (PERF # 1)|CARMAN, MB|BR957 HAND BURNER
BULL RIDING|7276C| 6. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|BRU23 HEAVEN KNOWS
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|6823C| 1. ARBUTHNOTT JORDAN (PERF # 2)|HAYTER AB|BR31 BAD SELF ESTEEM
BULL RIDING|6504C| 2. SPEIR LEVI (PERF # 2)|HERBERT, SK|BR943 CHECKERS
BULL RIDING|7545| 3. HLUS BAILEY (PERF # 2)|INNISFREE, AB|BR900 TORCH HEAD
BULL RIDING|1635C| 4. SCHUETT COLTON (PERF # 2)|RAINIER, AB|BR22 STEVIE
BULL RIDING|C7314C| 5. KUBIK ZANE (PERF # 2)|CRA|BR856 ITCHY
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|7532| 1. MITCHELL COLE (PERF # 1)|OAK LAKE, MB|
TIE DOWN ROPING|5373C| 2. RADKE CLINT (PERF # 1)|MARYFIELD, SK|
TIE DOWN ROPING|6661C| 3. FINNERTY DANNY (PERF # 1)|DUCHESS, AB|
TIE DOWN ROPING|C7132C| 4. WILLIAMSON BLAKE (PERF # 1)|CRA|
TIE DOWN ROPING|6719C| 5. BARNSON CLAY (PERF # 1)|RAYMOND, AB|
TIE DOWN ROPING|3948C| 6. BEVAN CAREY (PERF # 1)|CARIEVALE SK|
TIE DOWN ROPING|6835C| 7. BROWN ORY (PERF # 1)|LENORE, MB|
TIE DOWN ROPING|P7476| 8. ESMOND DAVID (PERF # 1)|ELBOW, SK|
TIE DOWN ROPING|6933C| 9. SMITH LAYNE (PERF # 1)|OAK LAKE, MB|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|2007C| 1. SWITZER BLAINE (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|5942C| 2. SIGFUSSON SCOTT (PERF # 2)|DAVIDSON, SK|
TIE DOWN ROPING|6259C| 3. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|
TIE DOWN ROPING|5020C| 4. GETZ TYLER (PERF # 2)|LUCKY LAKE, SK|
TIE DOWN ROPING|5298C| 5. FOLK KEITH (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|5085C| 6. FOLK KEVIN (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|6555| 7. PEROZAK MACE (PERF # 2)|CLARESHOLM, AB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|R11365| 1. SMITH BLAIR (PERF # 3)|CPRA|
TIE DOWN ROPING|5643C| 2. SWITZER MATT (PERF # 3)|YORKTON, SK      |
TIE DOWN ROPING|R11377| 3. DUBLANKO DARREN (PERF # 3)|CPRA|
TIE DOWN ROPING|7049C| 4. MARCENKO GEORGE (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|6510C| 5. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|5019C| 6. GETZ CODY (PERF # 3)|BALGONIE, SK|
TIE DOWN ROPING|6857C| 7. MCLEOD TYCE (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|6648C| 8. HAYES WYATT (PERF # 3)|VAL MARIE, SK|
TIE DOWN ROPING|3955C| 9. DUNHAM BRUCE (PERF # 3)|INDIAN HEAD, SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|7380C| 1. SIEBOLD ADAM (PERF # 1)|KELVINGTON, SK|
STEER WRESTLING|J7203C| 2. LANG KELTON (PERF # 1)|CADILLAC, SK|
STEER WRESTLING|7383C| 3. KELLY CLINT (PERF # 1)|BRANDON, MB|
STEER WRESTLING|7086C| 4. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|
STEER WRESTLING|7264C| 5. PETTYJOHN TY (PERF # 1)|GARLAND, MB|
STEER WRESTLING|5957C| 6. HANTELMAN CHAD (PERF # 1)|KYLE, SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|6645C| 1. KLOVANSKY KAL (PERF # 2)|QU'APPELLE, SK|
STEER WRESTLING|J1543C| 2. RESCH BRADY (PERF # 2)|MAPLE CREEK, SK|
STEER WRESTLING|5942C| 3. SIGFUSSON SCOTT (PERF # 2)|DAVIDSON, SK|
STEER WRESTLING|7248C| 4. HAYES RILEY (PERF # 2)|VAL MARIE, SK|
STEER WRESTLING|7419| 5. WHEELER GEORGE (PERF # 2)|DAVIDSON SK|
STEER WRESTLING|CP3960C| 6. RESCH WAYNE (PERF # 2)|MAPLE CREEK, SK|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|6347C| 1. SCHROEDER LEIGHTON (PERF # 3)|SOURIS, MB|
STEER WRESTLING|1705C| 2. MARCENKO ZANE (PERF # 3)|ROCKGLEN, SK|
STEER WRESTLING|6685C| 3. NEWTON BLAKE (PERF # 3)|DEL BONITA, AB|
STEER WRESTLING|6510C| 4. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
STEER WRESTLING|5483C| 5. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
STEER WRESTLING|M2072C| 6. KING JOE (PERF # 3)|VIRDEN, MB|
STEER WRESTLING|M2056C| 7. KING CHARLIE (PERF # 3)|MRCA|
STEER WRESTLING|M2559C| 8. LEE AARON (PERF # 3)|MRCA|
