OFFICIAL DRAW FOR WEYBURN
Performance: 1. Saturday 23 @ 4:00PM
Performance: 2. Sunday 24 @ 2:00PM
Performance: 3. Sunday 24 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|7428| 1. ZWEIFEL CHASE (PERF # 1)|PARADISE HILL, SK|FS914 WILLIAM STEVENSON
SADDLE BRONC|7320C| 2. KNIGHT TOM (PERF # 1)|REGINA, SK|FS910 BROTHER BEAR
SADDLE BRONC|6572C| 3. GORDON MIKE (PERF # 1)|MAPLE CREEK, SK|FS38 HIGH ARCTIC
SADDLE BRONC|6168| 4. GILCHRIST ADAM (PERF # 1)|MAPLE CREEK SK|FS011 SWEET GRASS
SADDLE BRONC|M2791C| 5. DINWOODIE BRODIE (PERF # 1)|MRCA|FS00 NAKOTA CROSSING
SADDLE BRONC|7086C| 6. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|FS72 DAY BY DAY          
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6870C| 1. FOUHSE TYREL (PERF # 2)|WHITE CITY, SK|FS72 DAY BY DAY          
SADDLE BRONC|5283C| 2. FITZPATRICK RHETT (PERF # 2)|WOOD MOUNTAIN, SK|FS915 EAGLE CREEK
SADDLE BRONC|6259C| 3. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|FS910 BROTHER BEAR
SADDLE BRONC|7382C| 4. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|FS170 LANDSLIDE
SADDLE BRONC|5631C| 5. O'DEMPSEY MARK (PERF # 2)|MAYERTHORPE, AB|FSL01 RED DIRT ROAD
SADDLE BRONC|6814C| 6. WINTERS TYLER (PERF # 2)|OAK LAKE, MB|FS01 SMITH AND WESSON
SADDLE BRONC|6392C| 7. THOMPSON KIRK (PERF # 2)|OAK LAKE, MB|FSA10 NORTHERN LIGHTS
SADDLE BRONC|6649C| 8. BOURQUE CHASE (PERF # 2)|PELLY, SK|FS38 HIGH ARCTIC
SADDLE BRONC|7420| 9. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|FS849 VALLEY MEADOW
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|5976C| 1. BERTRAM BRADY (PERF # 1)|MAPLE CREEK,SK |F001 GOOD VOICE
BAREBACK|7525| 2. WILLIAMS BRETT (PERF # 1)|STAVELY, AB|F231 LAST FRIDAY NIGHT
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|7508| 1. MAY PARRISH (PERF # 2)|KENNEDY,SK|F20 PAINTED HAND NATION
BAREBACK|7370C| 2. COLLINS COHEN (PERF # 2)|REGINA, SK|F67 SUMMER DREAM
BAREBACK|6811| 3. SHOLD ANDY (PERF # 2)|RED DEER COUNTY, AB|F241 JERSEY SHORE
BAREBACK|6964C| 4. GRAVELLE PATRICK (PERF # 2)|BENGOUGH, SK|F224 AMERICAN HUSTLE
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7524| 1. HUNT RON (PERF # 1)|NANTON, AB|FR844 AIR BENDER
BULL RIDING|M2875| 2. LAVALLEE WYATT (PERF # 1)|MRCA|FR936 PICK POCKET
BULL RIDING|7411C| 3. DUNCAN REED (PERF # 1)|MORTLACH, SK|FR011 BOOSTER SEAT
BULL RIDING|7276C| 4. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|FR233 ROCKET OUT
BULL RIDING|1559C| 5. LEIPPI MATTHEW (PERF # 1)|KRONAU, SK|FR806 PSYCHO
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|1675C| 1. EBERLE KYLE (PERF # 2)|PILOT BUTTE, SK|FR011 BOOSTER SEAT
BULL RIDING|7545| 2. HLUS BAILEY (PERF # 2)|INNISFREE, AB|FR936 PICK POCKET
BULL RIDING|7382C| 3. BALLARD CODY (PERF # 2)|SONNINGDALE, SK|FR806 PSYCHO
BULL RIDING|7526| 4. SLADE LACHLAN (PERF # 2)|SONNINGDALE SK|FR108 CARL
BULL RIDING|7444C| 5. MOEN JB (PERF # 2)|ELROSE, SK|FR807 BURGLER
BULL RIDING|1561C| 6. LOEPPKY TJ (PERF # 2)|CENTRAL BUTTE, SK|FR126 JUICE BOX
BULL RIDING|7521| 7. BUECKERT DALE (PERF # 2)|AUSTIN, MB|FR233 ROCKET OUT
BULL RIDING|6395| 8. MADDISON STEVE (PERF # 2)|CARMAN, MB|FR044 SPIN DOWN
BULL RIDING|1635C| 9. SCHUETT COLTON (PERF # 2)|RAINIER, AB|FR924 TURN ME OVER
BULL RIDING|C7314C| 10. KUBIK ZANE (PERF # 2)|CRA|FR25 TURN IT UP
BULL RIDING|6505C| 11. ELLIS TY (PERF # 2)|SONNINGDALE, SK|FR843 AIRBUD
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|M1321C| 1. BROWN SHANE (PERF # 1)|VIRDEN MB|
TIE DOWN ROPING|R11377| 2. DUBLANKO DARREN (PERF # 1)|CPRA|
TIE DOWN ROPING|R11365| 3. SMITH BLAIR (PERF # 1)|CPRA|
TIE DOWN ROPING|M1320C| 4. BROWN LONNIE (PERF # 1)|VIRDEN, MB|
TIE DOWN ROPING|R11475| 5. SMITH CLAYTON (PERF # 1)|CPRA|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|3996C| 1. ROOD CODY (PERF # 2)|BENGOUGH SK|
TIE DOWN ROPING|5085C| 2. FOLK KEVIN (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|6259C| 3. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|
TIE DOWN ROPING|5643C| 4. SWITZER MATT (PERF # 2)|YORKTON, SK      |
TIE DOWN ROPING|5942C| 5. SIGFUSSON SCOTT (PERF # 2)|DAVIDSON, SK|
TIE DOWN ROPING|3955C| 6. DUNHAM BRUCE (PERF # 2)|INDIAN HEAD, SK|
TIE DOWN ROPING|6071C| 7. KELLER SHAY (PERF # 2)|ROCKGLEN, SK|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5020C| 1. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|R11262| 2. BONNETT KEELY (PERF # 3)|CPRA|
TIE DOWN ROPING|7049C| 3. MARCENKO GEORGE (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|6648C| 4. HAYES WYATT (PERF # 3)|VAL MARIE, SK|
TIE DOWN ROPING|3709C| 5. DUNHAM KEVIN (PERF # 3)|SOURIS, MB|
TIE DOWN ROPING|5311C| 6. WILLIAMSON SHAWN (PERF # 3)|MANKOTA, SK |
TIE DOWN ROPING|5373C| 7. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
TIE DOWN ROPING|R11261| 8. BONNETT LOGAN (PERF # 3)|CPRA|
TIE DOWN ROPING|6661C| 9. FINNERTY DANNY (PERF # 3)|DUCHESS, AB|
TIE DOWN ROPING|6835C| 10. BROWN ORY (PERF # 3)|LENORE, MB|
TIE DOWN ROPING|6510C| 11. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|6555| 12. PEROZAK MACE (PERF # 3)|CLARESHOLM, AB|
TIE DOWN ROPING|2007C| 13. SWITZER BLAINE (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|5298C| 14. FOLK KEITH (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|6857C| 15. MCLEOD TYCE (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|3948C| 16. BEVAN CAREY (PERF # 3)|CARIEVALE SK|
TIE DOWN ROPING|R323978| 17. FINNERTY JESSE (PERF # 3)|CPRA|
TIE DOWN ROPING|6933C| 18. SMITH LAYNE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|6719C| 19. BARNSON CLAY (PERF # 3)|RAYMOND, AB|
TIE DOWN ROPING|7532| 20. MITCHELL COLE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|R11418| 21. BRANDEN WYATT (PERF # 3)|CPRA|
TIE DOWN ROPING|5019C| 22. GETZ CODY (PERF # 3)|BALGONIE, SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
