OFFICIAL DRAW FOR SWAN RIVER
Performance: 1. Friday 29 @ 1:00PM
Performance: 2. Saturday 30 @ 1:00PM
Performance: 3. Sunday 31 @ 1:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|5283C| 1. FITZPATRICK RHETT (PERF # 1)|WOOD MOUNTAIN, SK|PS819 OUTBACK JACK
SADDLE BRONC|6870C| 2. FOUHSE TYREL (PERF # 1)|WHITE CITY, SK|PS616 RAM TOUGH  
SADDLE BRONC|6572C| 3. GORDON MIKE (PERF # 1)|MAPLE CREEK, SK|PS307 RAM'S RED RODEO       
SADDLE BRONC|6259C| 4. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|PS901 UGLY TRUTH
SADDLE BRONC|6696C| 5. THURSTON WYATT (PERF # 1)|BIG VALLEY, AB|PS071 BIG SHOES
SADDLE BRONC|7420| 6. COSTELLO TIMOTHY (PERF # 1)|BYEMOOR, AB|PS820 BONAFIDE 
SADDLE BRONC|7428| 7. ZWEIFEL CHASE (PERF # 1)|PARADISE HILL, SK|PS631 JUDGEMENT DAY
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|M2791C| 1. DINWOODIE BRODIE (PERF # 2)|MRCA|PS001 STORM WARNING
SADDLE BRONC|6392C| 2. THOMPSON KIRK (PERF # 2)|OAK LAKE, MB|PS836 GAME CHANGER
SADDLE BRONC|6649C| 3. BOURQUE CHASE (PERF # 2)|PELLY, SK|PS005 WHEEL HOUSE
SADDLE BRONC|7086C| 4. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|PS939 JAMBALYA
SADDLE BRONC||PERFORMANCE: 3||
SADDLE BRONC|| ||
SADDLE BRONC|5631C| 1. O'DEMPSEY MARK (PERF # 3)|MAYERTHORPE, AB|PS867 ANOTHER BROTHER
SADDLE BRONC|6381| 2. WATT COLEMAN (PERF # 3)|HARDISTY, AB|PS333 RATHER SPECIAL      
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7508| 1. MAY PARRISH (PERF # 1)|KENNEDY,SK|P934 COWBOY UP
BAREBACK|6535C| 2. MOEN BUCK (PERF # 1)|ELROSE, SK|P808 DESTINY
BAREBACK|6811| 3. SHOLD ANDY (PERF # 1)|RED DEER COUNTY, AB|P073 ANYTHING GOES
BAREBACK|5976C| 4. BERTRAM BRADY (PERF # 1)|MAPLE CREEK,SK |P038 SAY WHEN        
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|5131C| 1. KOOPMAN MONTY (PERF # 2)|CONSUL, SK|P716 MUS KNUCKLE
BAREBACK|6658C| 2. HOFER JASON (PERF # 2)|MAPLE CREEK, SK|P906 THUMBS UP
BAREBACK|6964C| 3. GRAVELLE PATRICK (PERF # 2)|BENGOUGH, SK|P83 AFTERMATH
BAREBACK||PERFORMANCE: 3||
BAREBACK|| ||
BAREBACK|LOC6647| 1. TUCK MIKE (PERF # 3)|SWA|P507 NO FOOLING
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|CP7132| 1. LAPLANTE LANE (PERF # 1)|NORTH BATTLEFORD, SK|PT017 3M YOUNG GUN
BULL RIDING|6823C| 2. ARBUTHNOTT JORDAN (PERF # 1)|HAYTER AB|PT04 CROSSFIRE'S PIPESLINGER
BULL RIDING|7444C| 3. MOEN JB (PERF # 1)|ELROSE, SK|PT071 WHIZ BANG
BULL RIDING|1561C| 4. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|PT295 3M BLACK ATTACK
BULL RIDING|6008C| 5. CURLEY JC (PERF # 1)|NORTH BATTLEFORD SK|PT123 COWTOWN'S FUNKY STUFF 
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7521| 1. BUECKERT DALE (PERF # 2)|AUSTIN, MB|PT123 COWTOWN'S FUNKY STUFF 
BULL RIDING|6395| 2. MADDISON STEVE (PERF # 2)|CARMAN, MB|PT295 3M BLACK ATTACK
BULL RIDING|7276C| 3. BEDFORD CALEB (PERF # 2)|MACNUTT, SK|PT28 3M BEEF SUPPLY
BULL RIDING||PERFORMANCE: 3||
BULL RIDING|| ||
BULL RIDING|M2682C| 1. GILCHUK DENNIS (PERF # 3)|MRCA|PT28 3M BEEF SUPPLY
BULL RIDING|5140C| 2. KOOPMAN JJ (PERF # 3)|JANSEN, SK|PT777 WITCHING HOUR 
BULL RIDING|7437| 3. MCMAHON KEENAN (PERF # 3)|INWOOD, MB|PT11 SEA MINERALS
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5942C| 1. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
TIE DOWN ROPING|5643C| 2. SWITZER MATT (PERF # 1)|YORKTON, SK      |
TIE DOWN ROPING|6259C| 3. HOUSTON RICHARD (PERF # 1)|WAINWRIGHT, AB|
TIE DOWN ROPING|3955C| 4. DUNHAM BRUCE (PERF # 1)|INDIAN HEAD, SK|
TIE DOWN ROPING|6648C| 5. HAYES WYATT (PERF # 1)|VAL MARIE, SK|
TIE DOWN ROPING|2007C| 6. SWITZER BLAINE (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING|6661C| 7. FINNERTY DANNY (PERF # 1)|DUCHESS, AB|
TIE DOWN ROPING|6835C| 8. BROWN ORY (PERF # 1)|LENORE, MB|
TIE DOWN ROPING|5298C| 9. FOLK KEITH (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING|5019C| 10. GETZ CODY (PERF # 1)|BALGONIE, SK|
TIE DOWN ROPING|5020C| 11. GETZ TYLER (PERF # 1)|LUCKY LAKE, SK|
TIE DOWN ROPING|3948C| 12. BEVAN CAREY (PERF # 1)|CARIEVALE SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5373C| 1. RADKE CLINT (PERF # 2)|MARYFIELD, SK|
TIE DOWN ROPING|6510C| 2. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|M2349C| 3. GLOVER BRYCE (PERF # 2)|MRCA|
TIE DOWN ROPING|6933C| 4. SMITH LAYNE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|7532| 5. MITCHELL COLE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|M1492C| 6. RUSK RYAN (PERF # 2)|MRCA|
TIE DOWN ROPING|6857C| 7. MCLEOD TYCE (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|M1981C| 8. BRIDGEMAN JUSTIN (PERF # 2)|BINSCARTH, MB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|M2721J| 1. SALMON TYSON (PERF # 3)|STONEWALL, MB|
TIE DOWN ROPING|M2109C| 2. BEAR CHARLIE (PERF # 3)|MRCA|
TIE DOWN ROPING|5483C| 3. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
TIE DOWN ROPING|M1321C| 4. BROWN SHANE (PERF # 3)|VIRDEN MB|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|6670C| 1. RUTTEN TANNER (PERF # 1)|REDVERS, SK|
STEER WRESTLING|7419| 2. WHEELER GEORGE (PERF # 1)|DAVIDSON SK|
STEER WRESTLING|6278C| 3. SPARROW JARED (PERF # 1)|NORTH BATTLEFORD SK|
STEER WRESTLING|7248C| 4. HAYES RILEY (PERF # 1)|VAL MARIE, SK|
STEER WRESTLING|7169C| 5. BRIGDEN AVERY (PERF # 1)|SOURIS, MB|
STEER WRESTLING|6347C| 6. SCHROEDER LEIGHTON (PERF # 1)|SOURIS, MB|
STEER WRESTLING|1561C| 7. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
STEER WRESTLING|6645C| 8. KLOVANSKY KAL (PERF # 1)|QU'APPELLE, SK|
STEER WRESTLING|5957C| 9. HANTELMAN CHAD (PERF # 1)|KYLE, SK|
STEER WRESTLING|5942C| 10. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|6559C| 1. HARRIS SCOTT (PERF # 2)|STONEWALL, MB|
STEER WRESTLING|7383C| 2. KELLY CLINT (PERF # 2)|BRANDON, MB|
