OFFICIAL DRAW FOR CONSUL, SK
Performance: 1. Saturday 30 @ 5:30PM
Performance: 2. Saturday 30 @ 2:00PM
Performance: 3. Sunday 31 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|5631C| 1. O'DEMPSEY MARK (PERF # 1)|MAYERTHORPE, AB|RS236 LONESOME NIGHTS
SADDLE BRONC|6381| 2. WATT COLEMAN (PERF # 1)|HARDISTY, AB|RS416 SMOKEY ROSE
SADDLE BRONC|6870C| 3. FOUHSE TYREL (PERF # 1)|WHITE CITY, SK|RS611 MOUSE EARS
SADDLE BRONC|7382C| 4. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|RS912 SUMMER WAGES
SADDLE BRONC|5178| 5. SCHELLENBERG BERNIE (PERF # 1)|MELFORT, SK|RS816 BAREFOOT
SADDLE BRONC|1424| 6. LANE CODY (PERF # 1)|LLOYDMINSTER, SK|RS990 JINGLE HORSE
SADDLE BRONC|7336C| 7. ASHBACHER KOLE (PERF # 1)|ARROWWOOD, AB|RS328 BIG FERN
SADDLE BRONC|7482| 8. WANCHUK KOLBY (PERF # 1)|SHERWOOD PARK AB|RS601 CHINIKI STRIP
SADDLE BRONC|7320C| 9. KNIGHT TOM (PERF # 1)|REGINA, SK|RS316 MINI MOVES
SADDLE BRONC|R11628| 10. WARREN RICKY (PERF # 1)|CPRA|RS908 KATIE ELDER
SADDLE BRONC|C7063C| 11. ULRICH TYSON (PERF # 1)|CLIMAX, SK|RS814 SMILING MOUSE
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6259C| 1. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|RS416 SMOKEY ROSE
SADDLE BRONC|6572C| 2. GORDON MIKE (PERF # 2)|MAPLE CREEK, SK|RS832 DOUBLE TRACKS
SADDLE BRONC|6696C| 3. THURSTON WYATT (PERF # 2)|BIG VALLEY, AB|RS908 KATIE ELDER
SADDLE BRONC|7420| 4. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|RS990 JINGLE HORSE
SADDLE BRONC|7428| 5. ZWEIFEL CHASE (PERF # 2)|PARADISE HILL, SK|RS236 LONESOME NIGHTS
SADDLE BRONC|7542| 6. BOHMER CHANCE (PERF # 2)|HILLCREST, AB|RS328 BIG FERN
SADDLE BRONC|6168| 7. GILCHRIST ADAM (PERF # 2)|MAPLE CREEK SK|RS010 CHUCK A LUCK
SADDLE BRONC|6080C| 8. BERTRAM CASEY (PERF # 2)|PIAPOT, SK|RS601 CHINIKI STRIP
SADDLE BRONC|C7024C| 9. HEMART ADRIEN (PERF # 2)|CRA|RS316 MINI MOVES
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|7508| 1. MAY PARRISH (PERF # 1)|KENNEDY,SK|R707 HI RISE
BAREBACK|7117C| 2. VANDENAMEELE DANNY (PERF # 1)|LANGENBURG SK|R412 MINI WHINNY
BAREBACK|P7324C| 3. PLAISIER BAILEY (PERF # 1)|OAK LAKE, MB|R516 CHINA LILLY
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|5976C| 1. BERTRAM BRADY (PERF # 2)|MAPLE CREEK,SK |R606 MOCCASIN SHUFFLE
BAREBACK|6535C| 2. MOEN BUCK (PERF # 2)|ELROSE, SK|R412 MINI WHINNY
BAREBACK|6811| 3. SHOLD ANDY (PERF # 2)|RED DEER COUNTY, AB|R504 SUNDAY STEPPER
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|1635C| 1. SCHUETT COLTON (PERF # 1)|RAINIER, AB|RR712 HILLBILLY HIWAY
BULL RIDING|1561C| 2. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|RR911 RUBBER BAND MAN
BULL RIDING|7382C| 3. BALLARD CODY (PERF # 1)|SONNINGDALE, SK|RR921 SOMETHING
BULL RIDING|7526| 4. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|RR907 WILD N WESTERN  
BULL RIDING|LOC6666| 5. UDAL STAECEN (PERF # 1)|CON|RR927 BULL HORN
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7444C| 1. MOEN JB (PERF # 2)|ELROSE, SK|RR891 HALO
BULL RIDING|7545| 2. HLUS BAILEY (PERF # 2)|INNISFREE, AB|RR921 SOMETHING
BULL RIDING|J7061C| 3. BRIGGS HAYDEN (PERF # 2)|MAPLE CREEK, SK|RR911 RUBBER BAND MAN
BULL RIDING|C7314C| 4. KUBIK ZANE (PERF # 2)|CRA|RR907 WILD N WESTERN  
BULL RIDING|C2905C| 5. PHILLIPS LONNIE (PERF # 2)|CRA|RR927 BULL HORN
BULL RIDING|C5708C| 6. KURTZWEG COLTEN (PERF # 2)|CRA|RR906 GHOST RIVER
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5643C| 1. SWITZER MATT (PERF # 1)|YORKTON, SK      |
TIE DOWN ROPING|6719C| 2. BARNSON CLAY (PERF # 1)|RAYMOND, AB|
TIE DOWN ROPING|C7132C| 3. WILLIAMSON BLAKE (PERF # 1)|CRA|
TIE DOWN ROPING|5942C| 4. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
TIE DOWN ROPING|6815C| 5. DAVIDSON JB (PERF # 1)|RIMBEY, AB|
TIE DOWN ROPING|3955C| 6. DUNHAM BRUCE (PERF # 1)|INDIAN HEAD, SK|
TIE DOWN ROPING|7438| 7. GULICK CHAD (PERF # 1)|WETASKIWIN, AB|
TIE DOWN ROPING|7472| 8. JOHNSON DAWSON (PERF # 1)|STRATHMORE, AB|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5085C| 1. FOLK KEVIN (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|5019C| 2. GETZ CODY (PERF # 2)|BALGONIE, SK|
TIE DOWN ROPING|7462| 3. HOFER CHASE (PERF # 2)|MAGRATH, AB|
TIE DOWN ROPING|6555| 4. PEROZAK MACE (PERF # 2)|CLARESHOLM, AB|
TIE DOWN ROPING|6648C| 5. HAYES WYATT (PERF # 2)|VAL MARIE, SK|
TIE DOWN ROPING|7280C| 6. WRIGHT TYSON (PERF # 2)|LETHBRIDGE, AB|
TIE DOWN ROPING|6259C| 7. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5311C| 1. WILLIAMSON SHAWN (PERF # 3)|MANKOTA, SK |
TIE DOWN ROPING|7532| 2. MITCHELL COLE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|5020C| 3. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|6933C| 4. SMITH LAYNE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|5298C| 5. FOLK KEITH (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|2007C| 6. SWITZER BLAINE (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|7049C| 7. MARCENKO GEORGE (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|6510C| 8. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|6857C| 9. MCLEOD TYCE (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|6835C| 10. BROWN ORY (PERF # 3)|LENORE, MB|
TIE DOWN ROPING|5373C| 11. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
TIE DOWN ROPING|6661C| 12. FINNERTY DANNY (PERF # 3)|DUCHESS, AB|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|5942C| 1. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING|6645C| 2. KLOVANSKY KAL (PERF # 1)|QU'APPELLE, SK|
STEER WRESTLING|6347C| 3. SCHROEDER LEIGHTON (PERF # 1)|SOURIS, MB|
STEER WRESTLING|3956C| 4. HARDEN JEREMY  (PERF # 1)|CASTOR, AB|
STEER WRESTLING|R322565| 5. MILLER JUSTIN (PERF # 1)|CPRA|
STEER WRESTLING|1561C| 6. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
