OFFICIAL DRAW FOR WHITEWOOD, SK
Performance: 1. Friday 12 @ 7:00PM
Performance: 2. Saturday 13 @ 7:00PM
Performance: 3. Saturday 13 @ 8:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|6870C| 1. FOUHSE TYREL (PERF # 1)|WHITE CITY, SK|WS06 WAR HORSE
SADDLE BRONC|5283C| 2. FITZPATRICK RHETT (PERF # 1)|WOOD MOUNTAIN, SK|WSJ10 POWER SUPPLY
SADDLE BRONC|6392C| 3. THOMPSON KIRK (PERF # 1)|OAK LAKE, MB|WS023 SUGAR KICK
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|7086C| 1. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|WSJ10 POWER SUPPLY
SADDLE BRONC|M2791C| 2. DINWOODIE BRODIE (PERF # 2)|MRCA|WS14 JULY BROWN
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|6291C| 1. COLLINS LANE (PERF # 1)|ARDEN, MB    |WS10 PISTOL PETE
BAREBACK|7400C| 2. HELMECZI MASON (PERF # 1)|ESTERHAZY SK|W120 HAPPY HOOKER
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|1561C| 1. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|WL106 SINGLE PAYMENT
BULL RIDING|6395| 2. MADDISON STEVE (PERF # 1)|CARMAN, MB|WL102 DUE SHOT
BULL RIDING|7276C| 3. BEDFORD CALEB (PERF # 1)|MACNUTT, SK|WL60 RENEGADE
BULL RIDING|J7359C| 4. BEAR CASEY (PERF # 1)|WHITEWOOD, SK|WL020 HIGH ROLLER
BULL RIDING|3526| 5. DAVIDSON CHAD (PERF # 1)|ASQUITH, SK|WL120 DUE PAYMENT
BULL RIDING|5460| 6. REGEHR WES (PERF # 1)|DELISLE SK|WLZ24 GOLD DUST
BULL RIDING|M2606C| 7. TOMOLAK MATTHEW (PERF # 1)|ESTERHAZY, SK|WL915 BELL FEVER
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|1675C| 1. EBERLE KYLE (PERF # 2)|PILOT BUTTE, SK|WL+91 BRIGHT LIGHTS
BULL RIDING|5140C| 2. KOOPMAN JJ (PERF # 2)|JANSEN, SK|WLZ05 TAP
BULL RIDING|7521| 3. BUECKERT DALE (PERF # 2)|AUSTIN, MB|WL122 HOLLYWOOD REBEL 
BULL RIDING|M2824| 4. DONALD DEVON (PERF # 2)|ROSSENDALE, MB|WL003 MERLIN LONGBACK
BULL RIDING|M2875| 5. LAVALLEE WYATT (PERF # 2)|MRCA|WL118 SOUTH COAL
BULL RIDING|LOC6706| 6. WAGMAN KEN (PERF # 2)|WHI|WLZ24 GOLD DUST
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6835C| 1. BROWN ORY (PERF # 1)|LENORE, MB|
TIE DOWN ROPING|5019C| 2. GETZ CODY (PERF # 1)|BALGONIE, SK|
TIE DOWN ROPING|6648C| 3. HAYES WYATT (PERF # 1)|VAL MARIE, SK|
TIE DOWN ROPING|3709C| 4. DUNHAM KEVIN (PERF # 1)|SOURIS, MB|
TIE DOWN ROPING|5298C| 5. FOLK KEITH (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING|3996C| 6. ROOD CODY (PERF # 1)|BENGOUGH SK|
TIE DOWN ROPING|M2109C| 7. BEAR CHARLIE (PERF # 1)|MRCA|
TIE DOWN ROPING|6661C| 8. FINNERTY DANNY (PERF # 1)|DUCHESS, AB|
TIE DOWN ROPING|5942C| 9. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|7417| 1. WILEY BILLY (PERF # 2)|MANOR, SK|
TIE DOWN ROPING|6559C| 2. HARRIS SCOTT (PERF # 2)|STONEWALL, MB|
TIE DOWN ROPING|6510C| 3. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|6635C| 4. MASTAD CLAY (PERF # 2)|PLEASANTDALE, SK |
TIE DOWN ROPING|2007C| 5. SWITZER BLAINE (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|6857C| 6. MCLEOD TYCE (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|5020C| 7. GETZ TYLER (PERF # 2)|LUCKY LAKE, SK|
TIE DOWN ROPING|M2721J| 8. SALMON TYSON (PERF # 2)|STONEWALL, MB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|R100005| 1. TAYPOTAT CURTIS (PERF # 3)|INFR|
TIE DOWN ROPING|3955C| 2. DUNHAM BRUCE (PERF # 3)|INDIAN HEAD, SK|
TIE DOWN ROPING|5643C| 3. SWITZER MATT (PERF # 3)|YORKTON, SK      |
TIE DOWN ROPING|3876| 4. TAYPOTAT SAM (PERF # 3)|WHITEWOOD SK|
TIE DOWN ROPING|M1981C| 5. BRIDGEMAN JUSTIN (PERF # 3)|BINSCARTH, MB|
TIE DOWN ROPING|7532| 6. MITCHELL COLE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|5483C| 7. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
TIE DOWN ROPING|1705C| 8. MARCENKO ZANE (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|M1550C| 9. DUNHAM ROGER (PERF # 3)|MRCA|
TIE DOWN ROPING|R1056| 10. TAYPOTAT DARRELL (PERF # 3)|INFR|
TIE DOWN ROPING|6545C| 11. LEHMANN ASHTON (PERF # 3)|MAYFAIR, SK|
TIE DOWN ROPING|M1321C| 12. BROWN SHANE (PERF # 3)|VIRDEN MB|
TIE DOWN ROPING|M2705JC| 13. ALLAN CLAY (PERF # 3)|MRCA|
TIE DOWN ROPING|3948C| 14. BEVAN CAREY (PERF # 3)|CARIEVALE SK|
TIE DOWN ROPING|6933C| 15. SMITH LAYNE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|5373C| 16. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|6278C| 1. SPARROW JARED (PERF # 1)|NORTH BATTLEFORD SK|
STEER WRESTLING|7419| 2. WHEELER GEORGE (PERF # 1)|DAVIDSON SK|
STEER WRESTLING|5942C| 3. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING|6835C| 4. BROWN ORY (PERF # 1)|LENORE, MB|
STEER WRESTLING|1561C| 5. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
STEER WRESTLING|M2559C| 6. LEE AARON (PERF # 1)|MRCA|
STEER WRESTLING|6645C| 7. KLOVANSKY KAL (PERF # 1)|QU'APPELLE, SK|
STEER WRESTLING|3636C| 8. MCPHEE BRIAN (PERF # 1)|HANLEY SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|7380C| 1. SIEBOLD ADAM (PERF # 2)|KELVINGTON, SK|
STEER WRESTLING|7253C| 2. MCLEOD TEE (PERF # 2)|WALDECK, SK|
STEER WRESTLING|7086C| 3. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|
STEER WRESTLING|6347C| 4. SCHROEDER LEIGHTON (PERF # 2)|SOURIS, MB|
STEER WRESTLING|7383C| 5. KELLY CLINT (PERF # 2)|BRANDON, MB|
STEER WRESTLING|7264C| 6. PETTYJOHN TY (PERF # 2)|GARLAND, MB|
STEER WRESTLING|6559C| 7. HARRIS SCOTT (PERF # 2)|STONEWALL, MB|
STEER WRESTLING|7169C| 8. BRIGDEN AVERY (PERF # 2)|SOURIS, MB|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|7248C| 1. HAYES RILEY (PERF # 3)|VAL MARIE, SK|
STEER WRESTLING|M1981C| 2. BRIDGEMAN JUSTIN (PERF # 3)|BINSCARTH, MB|
STEER WRESTLING|5483C| 3. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
STEER WRESTLING|M1321C| 4. BROWN SHANE (PERF # 3)|VIRDEN MB|
STEER WRESTLING|6670C| 5. RUTTEN TANNER (PERF # 3)|REDVERS, SK|
