OFFICIAL DRAW FOR ESTEVAN, SK
Performance: 1. Friday 2 @ 7:00PM
Performance: 2. Saturday 3 @ 2:00PM
Performance: 3. Saturday 3 @ 10:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
 
SADDLE BRONC||PERFORMANCE: 1||
SADDLE BRONC|| ||
SADDLE BRONC|5283C| 1. FITZPATRICK RHETT (PERF # 1)|WOOD MOUNTAIN, SK|RS121 BABY BOMB     
SADDLE BRONC|6870C| 2. FOUHSE TYREL (PERF # 1)|WHITE CITY, SK|RS201 CROSS HAIR
SADDLE BRONC|6392C| 3. THOMPSON KIRK (PERF # 1)|OAK LAKE, MB|RS163 CHARLIE DUN
SADDLE BRONC|6649C| 4. BOURQUE CHASE (PERF # 1)|PELLY, SK|RS91 PARTLY FICTON
SADDLE BRONC|M2791C| 5. DINWOODIE BRODIE (PERF # 1)|MRCA|RS001 LUCKY DRAW
SADDLE BRONC||PERFORMANCE: 2||
SADDLE BRONC|| ||
SADDLE BRONC|6259C| 1. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|RS637 BMW
SADDLE BRONC|6168| 2. GILCHRIST ADAM (PERF # 2)|MAPLE CREEK SK|RS112 BATTLE CREEK
SADDLE BRONC|6080C| 3. BERTRAM CASEY (PERF # 2)|PIAPOT, SK|RSD177 NO EXCUSE
SADDLE BRONC|7420| 4. COSTELLO TIMOTHY (PERF # 2)|BYEMOOR, AB|RSP198 BIG LEAGUE
SADDLE BRONC|7086C| 5. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|RS907 REPO GAMES
BAREBACK||PERFORMANCE: 1||
BAREBACK|| ||
BAREBACK|6535C| 1. MOEN BUCK (PERF # 1)|ELROSE, SK|RZ37 RUSTY'S DELIGHT
BAREBACK|7525| 2. WILLIAMS BRETT (PERF # 1)|STAVELY, AB|RZ2 TWO DOLLAR COIN
BAREBACK|7370C| 3. COLLINS COHEN (PERF # 1)|REGINA, SK|RO46 SO BLUE
BAREBACK||PERFORMANCE: 2||
BAREBACK|| ||
BAREBACK|6811| 1. SHOLD ANDY (PERF # 2)|RED DEER COUNTY, AB|R207 WHISPER
BAREBACK|7400C| 2. HELMECZI MASON (PERF # 2)|ESTERHAZY SK|R120 SWEET DREAMS
BAREBACK|5976C| 3. BERTRAM BRADY (PERF # 2)|MAPLE CREEK,SK |R204 MUSHROOM CLOUD
BAREBACK|6964C| 4. GRAVELLE PATRICK (PERF # 2)|BENGOUGH, SK|R101 REMARKABLE
BULL RIDING||PERFORMANCE: 1||
BULL RIDING|| ||
BULL RIDING|7446| 1. PITURA MARTY (PERF # 1)|STE ANNE, MB|RA923 COLD BLUE
BULL RIDING|1561C| 2. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|RA941 EVEN STEVEN
BULL RIDING|1559C| 3. LEIPPI MATTHEW (PERF # 1)|KRONAU, SK|RA951 PITCH DARK
BULL RIDING|7524| 4. HUNT RON (PERF # 1)|NANTON, AB|RA039 DIRTY STEVE
BULL RIDING|7444C| 5. MOEN JB (PERF # 1)|ELROSE, SK|RA813 MISSING LINK
BULL RIDING|6505C| 6. ELLIS TY (PERF # 1)|SONNINGDALE, SK|RA98 WHITE RUSSIAN
BULL RIDING|7526| 7. SLADE LACHLAN (PERF # 1)|SONNINGDALE SK|RA076 KOOL TWIST
BULL RIDING||PERFORMANCE: 2||
BULL RIDING|| ||
BULL RIDING|7388C| 1. KNOX TYLER (PERF # 2)|PONTEIX, SK|RA700 JOE SMOE
BULL RIDING|7276C| 2. BEDFORD CALEB (PERF # 2)|MACNUTT, SK|RA68 ALBERTA PREMIUM
BULL RIDING|7437| 3. MCMAHON KEENAN (PERF # 2)|INWOOD, MB|RA080 YOUR SO VAIN
BULL RIDING|7548| 4. BURNS RYAN (PERF # 2)|GLIDDEN, SK|RA113 BACK TO SID 
BULL RIDING|7521| 5. BUECKERT DALE (PERF # 2)|AUSTIN, MB|RA039 DIRTY STEVE
BULL RIDING|1675C| 6. EBERLE KYLE (PERF # 2)|PILOT BUTTE, SK|RA829 SMIRK
TIE DOWN ROPING||PERFORMANCE: 1||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6635C| 1. MASTAD CLAY (PERF # 1)|PLEASANTDALE, SK |
TIE DOWN ROPING|5643C| 2. SWITZER MATT (PERF # 1)|YORKTON, SK      |
TIE DOWN ROPING|6510C| 3. MCLEOD TUFTIN (PERF # 1)|WALDECK, SK|
TIE DOWN ROPING|3955C| 4. DUNHAM BRUCE (PERF # 1)|INDIAN HEAD, SK|
TIE DOWN ROPING|5942C| 5. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
TIE DOWN ROPING|5483C| 6. PORTER DEVON (PERF # 1)|SOLSGIRTH, MB|
TIE DOWN ROPING|7417| 7. WILEY BILLY (PERF # 1)|MANOR, SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|6661C| 1. FINNERTY DANNY (PERF # 2)|DUCHESS, AB|
TIE DOWN ROPING|7462| 2. HOFER CHASE (PERF # 2)|MAGRATH, AB|
TIE DOWN ROPING|6071C| 3. KELLER SHAY (PERF # 2)|ROCKGLEN, SK|
TIE DOWN ROPING|5311C| 4. WILLIAMSON SHAWN (PERF # 2)|MANKOTA, SK |
TIE DOWN ROPING|7472| 5. JOHNSON DAWSON (PERF # 2)|STRATHMORE, AB|
TIE DOWN ROPING|5020C| 6. GETZ TYLER (PERF # 2)|LUCKY LAKE, SK|
TIE DOWN ROPING|6545C| 7. LEHMANN ASHTON (PERF # 2)|MAYFAIR, SK|
TIE DOWN ROPING|5085C| 8. FOLK KEVIN (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING|6259C| 9. HOUSTON RICHARD (PERF # 2)|WAINWRIGHT, AB|
TIE DOWN ROPING|2007C| 10. SWITZER BLAINE (PERF # 2)|SWIFT CURRENT SK|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|3996C| 1. ROOD CODY (PERF # 3)|BENGOUGH SK|
TIE DOWN ROPING|6555| 2. PEROZAK MACE (PERF # 3)|CLARESHOLM, AB|
TIE DOWN ROPING|5373C| 3. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
TIE DOWN ROPING|M1492C| 4. RUSK RYAN (PERF # 3)|MRCA|
TIE DOWN ROPING|6933C| 5. SMITH LAYNE (PERF # 3)|OAK LAKE, MB|
TIE DOWN ROPING|3948C| 6. BEVAN CAREY (PERF # 3)|CARIEVALE SK|
TIE DOWN ROPING|M1981C| 7. BRIDGEMAN JUSTIN (PERF # 3)|BINSCARTH, MB|
TIE DOWN ROPING|6835C| 8. BROWN ORY (PERF # 3)|LENORE, MB|
TIE DOWN ROPING|5019C| 9. GETZ CODY (PERF # 3)|BALGONIE, SK|
TIE DOWN ROPING|6559C| 10. HARRIS SCOTT (PERF # 3)|STONEWALL, MB|
TIE DOWN ROPING|M2721J| 11. SALMON TYSON (PERF # 3)|STONEWALL, MB|
TIE DOWN ROPING|M1550C| 12. DUNHAM ROGER (PERF # 3)|MRCA|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|R3088| 1. LIVINGSTONE TY (PERF # 1)|FCA|
STEER WRESTLING|6736| 2. SHUCKBURGH RYAN (PERF # 1)|INNISFAIL, AB|
STEER WRESTLING|6645C| 3. KLOVANSKY KAL (PERF # 1)|QU'APPELLE, SK|
STEER WRESTLING|1561C| 4. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
STEER WRESTLING|1705C| 5. MARCENKO ZANE (PERF # 1)|ROCKGLEN, SK|
STEER WRESTLING|6505C| 6. ELLIS TY (PERF # 1)|SONNINGDALE, SK|
STEER WRESTLING|5483C| 7. PORTER DEVON (PERF # 1)|SOLSGIRTH, MB|
STEER WRESTLING|7253C| 8. MCLEOD TEE (PERF # 1)|WALDECK, SK|
STEER WRESTLING|5942C| 9. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING|7419| 10. WHEELER GEORGE (PERF # 1)|DAVIDSON SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|7383C| 1. KELLY CLINT (PERF # 2)|BRANDON, MB|
STEER WRESTLING|7086C| 2. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|
