19 Sep 16                    1  OFFICIAL  STANDINGS                  
CIRCUIT  : PEAVEY MART WEST TOUR 
INCLUDING: KYLE, SK,                                                   
EXCLUDING:                                                             
EVENT|POS|CCA ID|NAME|LOCALE|POINTS
SADDLE BRONC|1|7336C|ASHBACHER KOLE|ARROWWOOD, AB|255
SADDLE BRONC|2|6259C|HOUSTON RICHARD|WAINWRIGHT, AB|250
SADDLE BRONC|3|7482|WANCHUK KOLBY|SHERWOOD PARK AB|205
SADDLE BRONC|4|6870C|FOUHSE TYREL|WHITE CITY, SK|163
SADDLE BRONC|5|6168|GILCHRIST ADAM|MAPLE CREEK SK|135
SADDLE BRONC|6|6696C|THURSTON WYATT|BIG VALLEY, AB|130
SADDLE BRONC|7|7382C|BALLARD CODY|SONNINGDALE, SK|115
SADDLE BRONC|8|6392C|THOMPSON KIRK|OAK LAKE, MB|80
SADDLE BRONC|9|7428|ZWEIFEL CHASE|PARADISE HILL, SK|75
SADDLE BRONC|10|5283C|FITZPATRICK RHETT|WOOD MOUNTAIN, SK|70
SADDLE BRONC|11|5178|SCHELLENBERG BERNIE|MELFORT, SK|65
SADDLE BRONC|12|5328C|HARDEN JOSH|BIG VALLEY, AB|55
SADDLE BRONC|13|6169C|WILSON TYLER|MEADOW LAKE SK|50
SADDLE BRONC|14|7320C|KNIGHT TOM|REGINA, SK|45
SADDLE BRONC|15|5631C|O'DEMPSEY MARK|MAYERTHORPE, AB|43
SADDLE BRONC|16|6572C|GORDON MIKE|MAPLE CREEK, SK|43
SADDLE BRONC|17|7420|COSTELLO TIMOTHY|BYEMOOR, AB|13
SADDLE BRONC|18|7086C|POTVIN ANTHONY|AUSTIN, MB|0
SADDLE BRONC|19|6649C|BOURQUE CHASE|PELLY, SK|0
SADDLE BRONC|20|6080C|BERTRAM CASEY|PIAPOT, SK|0
BAREBACK|1|5976C|BERTRAM BRADY|MAPLE CREEK,SK |350
BAREBACK|2|6535C|MOEN BUCK|ELROSE, SK|295
BAREBACK|3|5131C|KOOPMAN MONTY|CONSUL, SK|240
BAREBACK|4|6291C|COLLINS LANE|ARDEN, MB    |160
BAREBACK|5|7370C|COLLINS COHEN|REGINA, SK|135
BAREBACK|6|7508|MAY PARRISH|KENNEDY,SK|135
BAREBACK|7|7478|JONES DANIEL "STRAWBS"|DUFFIELD, AB|120
BAREBACK|8|7117C|VANDENAMEELE DANNY|LANGENBURG SK|120
BAREBACK|9|7525|WILLIAMS BRETT|STAVELY, AB|60
BAREBACK|10|7328C|STEVENSON CARSON|RICHLEA, SK|50
BAREBACK|11|1632C|PETERSON CALDER|GLENTWORTH, SK|45
BAREBACK|12|7541|TURNER MAT|REGINA, SK|35
BAREBACK|13|7400C|HELMECZI MASON|ESTERHAZY SK|30
BAREBACK|14|6658C|HOFER JASON|MAPLE CREEK, SK|20
BAREBACK|15|6964C|GRAVELLE PATRICK|BENGOUGH, SK|20
BULL RIDING|1|7510|WARD TYRELL|THREE HILLS, AB|150
BULL RIDING|2|7444C|MOEN JB|ELROSE, SK|140
BULL RIDING|3|7382C|BALLARD CODY|SONNINGDALE, SK|130
BULL RIDING|4|1561C|LOEPPKY TJ|CENTRAL BUTTE, SK|100
BULL RIDING|5|1559C|LEIPPI MATTHEW|KRONAU, SK|90
BULL RIDING|6|7526|SLADE LACHLAN|SONNINGDALE SK|80
BULL RIDING|7|7524|HUNT RON|NANTON, AB|65
BULL RIDING|8|4013|ZUNTI BRENT|UNITY, SK|50
BULL RIDING|9|1635C|SCHUETT COLTON|RAINIER, AB|50
BULL RIDING|10|CP7132|LAPLANTE LANE|NORTH BATTLEFORD, SK|50
BULL RIDING|11|5341C|LAPLANTE DANIEL|SASKATOON, SK       |40
BULL RIDING|12|6505C|ELLIS TY|SONNINGDALE, SK|40
TIE DOWN ROPING|1|7049C|MARCENKO GEORGE|ROCKGLEN, SK|165
TIE DOWN ROPING|2|7472|JOHNSON DAWSON|STRATHMORE, AB|155
TIE DOWN ROPING|3|5311C|WILLIAMSON SHAWN|MANKOTA, SK |100
TIE DOWN ROPING|4|6555|PEROZAK MACE|CLARESHOLM, AB|95
TIE DOWN ROPING|5|7438|GULICK CHAD|WETASKIWIN, AB|90
TIE DOWN ROPING|6|5373C|RADKE CLINT|MARYFIELD, SK|85
TIE DOWN ROPING|7|6510C|MCLEOD TUFTIN|WALDECK, SK|80
TIE DOWN ROPING|8|6661C|FINNERTY DANNY|DUCHESS, AB|80
TIE DOWN ROPING|9|3955C|DUNHAM BRUCE|INDIAN HEAD, SK|70
TIE DOWN ROPING|10|6933C|SMITH LAYNE|OAK LAKE, MB|70
TIE DOWN ROPING|11|6857C|MCLEOD TYCE|WALDECK, SK|70
TIE DOWN ROPING|12|6648C|HAYES WYATT|VAL MARIE, SK|70
TIE DOWN ROPING|13|5085C|FOLK KEVIN|SWIFT CURRENT SK|65
TIE DOWN ROPING|14|3948C|BEVAN CAREY|CARIEVALE SK|60
