 19 Sep 16                  ALL  OFFICIAL  STANDINGS                  
 CIRCUIT  : ALL RODEOS
 INCLUDING: BEAUSEJOUR,                                                 
 EXCLUDING:                                                             
EVENT|POS|CCA ID|NAME|RODEO COMPETED|LOCALE|AMT
ALL AROUND|1|1561C|LOEPPKY TJ||CENTRAL BUTTE, SK|8,922.83
ALL AROUND|2|6168|GILCHRIST ADAM||MAPLE CREEK SK|8,722.53
ALL AROUND|3|7086C|POTVIN ANTHONY||AUSTIN, MB|5,119.15
ALL AROUND|4|6505C|ELLIS TY||SONNINGDALE, SK|4,982.44
ALL AROUND|5|5328C|HARDEN JOSH||BIG VALLEY, AB|4,249.94
CANADIAN HIGH POINT AWARD|1|6510C|MCLEOD TUFTIN||WALDECK, SK|22,870.57
CANADIAN HIGH POINT AWARD|2|5942C|SIGFUSSON SCOTT||DAVIDSON, SK|21,532.83
CANADIAN HIGH POINT AWARD|3|6857C|MCLEOD TYCE||WALDECK, SK|18,443.28
CANADIAN HIGH POINT AWARD|4|6555|PEROZAK MACE||CLARESHOLM, AB|12,706.29
CANADIAN HIGH POINT AWARD|5|5483C|PORTER DEVON||SOLSGIRTH, MB|11,903.55
CANADIAN HIGH POINT AWARD|6|5643C|SWITZER MATT||YORKTON, SK      |11,167.13
CANADIAN HIGH POINT AWARD|7|6259C|HOUSTON RICHARD||WAINWRIGHT, AB|10,948.56
CANADIAN HIGH POINT AWARD|8|6933C|SMITH LAYNE||OAK LAKE, MB|9,592.84
CANADIAN HIGH POINT AWARD|9|6648C|HAYES WYATT||VAL MARIE, SK|9,257.21
CANADIAN HIGH POINT AWARD|10|1561C|LOEPPKY TJ||CENTRAL BUTTE, SK|8,922.83
CANADIAN HIGH POINT AWARD|11|6168|GILCHRIST ADAM||MAPLE CREEK SK|8,722.53
CANADIAN HIGH POINT AWARD|12|7382C|BALLARD CODY||SONNINGDALE, SK|8,713.10
CANADIAN HIGH POINT AWARD|13|3948C|BEVAN CAREY||CARIEVALE SK|7,876.04
CANADIAN HIGH POINT AWARD|14|3955C|DUNHAM BRUCE||INDIAN HEAD, SK|7,870.01
CANADIAN HIGH POINT AWARD|15|1705C|MARCENKO ZANE||ROCKGLEN, SK|7,616.37
CANADIAN HIGH POINT AWARD|16|2007C|SWITZER BLAINE||SWIFT CURRENT SK|6,774.36
CANADIAN HIGH POINT AWARD|17|7532|MITCHELL COLE||OAK LAKE, MB|6,769.39
CANADIAN HIGH POINT AWARD|18|7253C|MCLEOD TEE||WALDECK, SK|6,635.42
CANADIAN HIGH POINT AWARD|19|6670C|RUTTEN TANNER||REDVERS, SK|5,901.49
CANADIAN HIGH POINT AWARD|20|6645C|KLOVANSKY KAL||QU'APPELLE, SK|5,489.88
SADDLE BRONC|1|6259C|HOUSTON RICHARD|28|WAINWRIGHT, AB|10,640.76
SADDLE BRONC|2|6870C|FOUHSE TYREL|27|WHITE CITY, SK|8,721.83
SADDLE BRONC|3|7428|ZWEIFEL CHASE|16|PARADISE HILL, SK|8,214.68
